Species,Order,Family,Genus,Main.biogeographic.region,Microhabitat,Habitat.type,Minimal.elevation..m.,Maximum.elevation..m.,Diet,Active.time,Foraging.mode,Maximum.Longevity..years.,Maximum.body.mass..g.,Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Hatchling.neonate.mass..g.,Reproductive.mode,Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch,Smallest.clutch.size,Largest.clutch.size,Number.of.litters.or.clutches.produced.per.year,Egg.length..mm.,Egg.width..mm.,Mean.Tb,Minimum.Tb,Maximum.Tb,genome.size.GB,GC.percent
Trachylepis_maculilabris,Squamata,Scincidae,Trachylepis,Afrotropic,Arboreal/Terrestrial,Forest/Grassland/Savanna,0,2550,Carnivorous,Diurnal,active,2.5,20,72.2,NA,24,NA,oviparous,7,3,13,5,NA,NA,36.5,NA,NA,1.2,42.5
Trachylepis_striata,Squamata,Scincidae,Trachylepis,Afrotropic,Arboreal/Terrestrial,Grassland/Savanna/Shrubland,0,2800,Carnivorous,Diurnal,active,NA,31.6,81.4,NA,28,NA,viviparous,6.7,2,20,NA,No,No,36.6,NA,NA,1.5,43
Trionyx_triunguis,Testudines,Trionychidae,Trionyx,Afrotropic,Aquatic,Wetlands,0,1500,Omnivorous,Diurnal,active,50.7,111954,NA,NA,NA,NA,oviparous,40,NA,NA,NA,NA,NA,NA,NA,NA,2.1,43.5
Varanus_albigularis,Squamata,Varanidae,Varanus,Afrotropic,Arboreal/Saxicolous/Terrestrial,Forest/Savanna/Shrubland,0,1500,Carnivorous,Diurnal,active,16.7,15135.6,518.3,NA,117.7,NA,oviparous,32,2,51,1,NA,NA,32.3,NA,NA,1.7,44.5
Varanus_niloticus,Squamata,Varanidae,Varanus,Afrotropic,Semi-Aquatic,Forest/Savanna/Shrubland/Wetlands,0,2000,Carnivorous,Diurnal,active,20,23988.3,499.7,NA,127.5,NA,oviparous,23.4,5,63,1,NA,NA,30.8,NA,NA,1.8,44.5
Salvator_merianae,Squamata,Teiidae,Salvator,Neotropic,Terrestrial,Forest/Shrubland,0,1000,Omnivorous,Diurnal,active,20,4466.8,347.5,NA,75,NA,oviparous,36.5,7,66,1,NA,NA,35,NA,NA,2,42
Laticauda_laticaudata,Squamata,Elapidae,Laticauda,Marine,Marine,Marine Neritic,NA,0,Carnivorous,NA,active,NA,317.4,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,1.6,40
Pogona_vitticeps,Squamata,Agamidae,Pogona,Australo-Pacific,Arboreal/Saxicolous/Terrestrial,Desert/Forest/Savanna/Shrubland,82,612,Omnivorous,Diurnal,plastic,18,575.4,152.6,NA,40,NA,oviparous,20.8,4,68,3.5,NA,NA,34.6,NA,NA,1.7,42
Podarcis_muralis,Squamata,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,44
Pseudonaja_textilis,Squamata,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,40
Anolis_carolinensis,Squamata,Anolidae,Anolis,Nearctic,Arboreal,Forest/Shrubland/Wetlands,0,10,Carnivorous,Diurnal,sit-and-wait,11,8.7,49.3,NA,21.8,NA,oviparous,1.2,1,2,10.5,NA,NA,28.2,NA,NA,1.8,40.5
Naja_naja,Squamata,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,40.5
Varanus_komodoensis,Squamata,Varanidae,Varanus,Oriental,Terrestrial,Forest/Savanna,0,900,Carnivorous,Diurnal,plastic,62,109647.8,1083.7,NA,174.5,NA,oviparous,18.4,1,33,1.8,NA,NA,35.3,NA,NA,1.5,44
Notechis_scutatus,Squamata,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,39.5
Sphenodon_punctatus,Rhynchocephalia,Sphenodontidae,Sphenodon,Australo-Pacific,Terrestrial,Forest/Shrubland,1,722,Carnivorous,Nocturnal,active,100,1020,450,610,NA,NA,oviparous,NA,NA,NA,0.2,NA,NA,20,16,21,4.3,47.5
