Binomial,Area,FID_2,TID,Group,Value,area2
Crotalus ericsmithi,9.996281,"2614",R09652,snake,"1",9.996
Crotalus horridus,2049510.003469,"2615",R09653,snake,"1",2049532.362
Crotalus intermedius,23338.405595,"2616",R09654,snake,"1",23334.695
Crotalus lannomi,11.885660,"2617",R09655,snake,"1",11.886
Crotalus lepidus,803955.241617,"2618",R09656,snake,"1",803968.734
Crotalus mitchellii,378143.346719,"2619",R09657,snake,"1",378168.173
Crotalus molossus,1449087.528795,"2620",R09658,snake,"1",1449058.962
Crotalus oreganus,1395918.019265,"2621",R09659,snake,"1",1395966.540
Crotalus polystictus,85492.511674,"2622",R09661,snake,"1",85521.320
Crotalus pricei,206618.143367,"2623",R09662,snake,"1",206619.226
Crotalus pusillus,2767.335669,"2624",R09663,snake,"1",2767.374
Crotalus ravus,40741.174083,"2625",R09664,snake,"1",40740.549
Crotalus ruber,158040.379825,"2626",R09665,snake,"1",158040.384
Crotalus scutulatus,935433.586613,"2627",R09666,snake,"1",935413.771
Crotalus simus,131398.597696,"2628",R09667,snake,"1",131403.807
Crotalus stejnegeri,14212.006092,"2629",R09668,snake,"1",14210.908
Crotalus stephensi,95810.087579,"2630",R09669,snake,"1",95810.814
Crotalus tancitarensis,211.444766,"2631",R09670,snake,"1",211.445
Crotalus tigris,157693.066861,"2632",R09671,snake,"1",157694.761
Crotalus tlaloci,3848.029359,"2633",R09672,snake,"1",3848.029
Crotalus totonacus,63400.403173,"2634",R09673,snake,"1",63400.917
Crotalus transversus,307.287477,"2635",R09674,snake,"1",307.264
Crotalus triseriatus,45309.997441,"2636",R09675,snake,"1",45310.736
Crotalus tzabcan,147424.307981,"2637",R09676,snake,"1",147435.873
Crotalus viridis,1903936.732858,"2638",R09677,snake,"1",1903872.037
Crotalus willardi,144326.395739,"2639",R09678,snake,"1",144328.792
Crotaphopeltis barotseensis,109942.451037,"2640",R01251,snake,"1",109941.884
Crotaphopeltis braestrupi,12094.713930,"2641",R01252,snake,"1",12094.635
Crotaphopeltis degeni,1909839.988105,"2642",R01253,snake,"1",1909840.601
Crotaphopeltis hippocrepis,3225845.796481,"2643",R01254,snake,"1",3226895.760
Crotaphopeltis hotamboeia,14928704.249068,"2644",R01255,snake,"1",14931917.632
Crotaphopeltis tornieri,117667.711581,"2645",R01256,snake,"1",117662.909
Crotaphytus antiquus,976.500195,"2646",R01993,lizard,"1",976.500
Crotaphytus bicinctores,556347.384359,"2647",R01994,lizard,"1",556347.475
Crotaphytus collaris,1914600.655777,"2648",R01995,lizard,"1",1914603.843
Crotaphytus dickersonae,2198.202038,"2649",R01996,lizard,"1",2198.322
Crotaphytus grismeri,1483.635240,"2650",R01997,lizard,"1",1483.636
Crotaphytus insularis,931.871928,"2651",R01998,lizard,"1",931.872
Crotaphytus nebrius,98459.099252,"2652",R01999,lizard,"1",98458.901
Crotaphytus reticulatus,95194.044628,"2653",R02000,lizard,"1",95194.013
Crotaphytus vestigium,62133.504270,"2654",R02001,lizard,"1",62126.199
Cryophis hallbergi,611.686194,"2655",R02864,snake,"1",611.685
Cryptactites peringueyi,363.751785,"2656",R03956,lizard,"1",363.740
Cryptagama aurita,124597.508848,"2657",R00153,lizard,"1",124598.181
Cryptoblepharus adamsi,80315.958431,"2658",R07258,lizard,"1",80316.308
Cryptoblepharus africanus,191268.373746,"2659",R07259,lizard,"1",191266.569
Cryptoblepharus ahli,2.301377,"2660",R07260,lizard,"1",2.301
Cryptoblepharus aldabrae,169.555014,"2661",R07261,lizard,"1",169.555
Cryptoblepharus ater,1031.546606,"2662",R07262,lizard,"1",1031.546
Cryptoblepharus australis,3419393.017389,"2663",R07263,lizard,"1",3419421.265
Cryptoblepharus balinensis,151783.396069,"2664",R07264,lizard,"1",151787.148
Cryptoblepharus bitaeniatus,21.722697,"2665",R07265,lizard,"1",21.723
Cryptoblepharus boutonii,9.804474,"2666",R07266,lizard,"1",9.804
Cryptoblepharus buchananii,1127319.006826,"2667",R07267,lizard,"1",1127312.473
Cryptoblepharus burdeni,5364.504095,"2668",R07268,lizard,"1",5370.489
Cryptoblepharus caudatus,3.413666,"2669",R07269,lizard,"1",3.414
Cryptoblepharus cognatus,319.372332,"2670",R07270,lizard,"1",319.372
Cryptoblepharus cursor,9844.633796,"2671",R07271,lizard,"1",9844.649
Cryptoblepharus cygnatus,99149.151792,"2672",R07272,lizard,"1",99150.618
Cryptoblepharus daedalos,16180.561123,"2673",R07273,lizard,"1",16180.347
Cryptoblepharus egeriae,9.996281,"2674",R07274,lizard,"1",9.996
Cryptoblepharus eximius,4164.638393,"2675",R07275,lizard,"1",4164.606
Cryptoblepharus exochus,21464.638577,"2676",R07276,lizard,"1",21464.849
Cryptoblepharus fuhni,8747.439732,"2677",R07277,lizard,"1",8747.454
Cryptoblepharus furvus,884.621261,"2678",R07278,lizard,"1",884.621
Cryptoblepharus gloriosus,537.275490,"2679",R07279,lizard,"1",537.276
Cryptoblepharus gurrmul,321.063008,"2680",R07280,lizard,"1",321.067
Cryptoblepharus juno,67031.682822,"2681",R07281,lizard,"1",67033.275
Cryptoblepharus keiensis,1077.192569,"2682",R07282,lizard,"1",1077.193
Cryptoblepharus leschenault,53106.870427,"2683",R07283,lizard,"1",53106.876
Cryptoblepharus litoralis,130085.667344,"2684",R07284,lizard,"1",130089.079
Cryptoblepharus megastictus,461006.765139,"2685",R07285,lizard,"1",461009.768
Cryptoblepharus mertensi,34844.575367,"2686",R07286,lizard,"1",34844.454
Cryptoblepharus metallicus,2093946.006878,"2687",R07287,lizard,"1",2094016.686
Cryptoblepharus nigropunctatus,68.033450,"2688",R07288,lizard,"1",68.033
Cryptoblepharus novaeguineae,58787.488025,"2689",R07289,lizard,"1",58788.055
Cryptoblepharus novocaledonicus,2059.252778,"2690",R07290,lizard,"1",2059.252
Cryptoblepharus novohebridicus,10616.647357,"2691",R07291,lizard,"1",10616.641
Cryptoblepharus ochrus,283570.710259,"2692",R07292,lizard,"1",283559.136
Cryptoblepharus pannosus,2434918.155544,"2693",R07293,lizard,"1",2434938.200
Cryptoblepharus plagiocephalus,610170.132943,"2694",R07294,lizard,"1",610171.449
Cryptoblepharus poecilopleurus,63963.798886,"2695",R07295,lizard,"1",63963.821
Cryptoblepharus pulcher,867170.006482,"2696",R07296,lizard,"1",867163.754
Cryptoblepharus quinquetaeniatus,426.261969,"2697",R07297,lizard,"1",426.262
Cryptoblepharus renschi,17779.504330,"2698",R07298,lizard,"1",17779.487
Cryptoblepharus richardsi,212.640129,"2699",R07299,lizard,"1",212.640
Cryptoblepharus ruber,499441.869875,"2700",R07300,lizard,"1",499472.100
Cryptoblepharus rutilus,456.606774,"2701",R07301,lizard,"1",456.607
Cryptoblepharus schlegelianus,14787.778126,"2702",R07302,lizard,"1",14787.765
Cryptoblepharus tytthos,71383.652553,"2703",R07303,lizard,"1",71383.266
Cryptoblepharus ustulatus,93064.711940,"2704",R07304,lizard,"1",93065.793
Cryptoblepharus virgatus,947584.301426,"2705",R07305,lizard,"1",947578.238
Cryptoblepharus voeltzkowi,14102.174939,"2706",R07306,lizard,"1",14112.825
Cryptoblepharus wulbu,4978.791543,"2707",R07307,lizard,"1",4978.801
Cryptoblepharus xenikos,49479.453110,"2708",R07308,lizard,"1",49478.271
Cryptoblepharus yulensis,2719.735508,"2709",R07309,lizard,"1",2719.691
Cryptoblepharus zoticus,64448.971920,"2710",R07310,lizard,"1",64451.381
Cryptophis boschmai,637115.540951,"2711",R03436,snake,"1",637221.277
Cryptophis incredibilis,1963.029553,"2712",R03437,snake,"1",1963.053
Cryptophis nigrescens,759541.442712,"2713",R03438,snake,"1",759530.175
Cryptophis nigrostriatus,434622.141183,"2714",R03439,snake,"1",434721.699
Cryptophis pallidiceps,343519.450894,"2715",R03440,snake,"1",343537.570
Ctenoblepharys adspersa,10693.941967,"2716",R06058,lizard,"1",10693.403
Ctenophorus adelaidensis,399440.879031,"2717",R00154,lizard,"1",399433.733
Ctenophorus butlerorum,10367.967061,"2718",R00155,lizard,"1",10367.776
Ctenophorus caudicinctus,3059455.229195,"2719",R00156,lizard,"1",3059465.306
Ctenophorus chapmani,232538.244860,"2720",R00157,lizard,"1",232513.677
Ctenophorus clayi,1715765.748890,"2721",R00158,lizard,"1",1715751.046
Ctenophorus cristatus,927237.515798,"2722",R00159,lizard,"1",927236.601
Ctenophorus decresii,165496.942206,"2723",R00160,lizard,"1",165496.480
Ctenophorus femoralis,86159.834829,"2724",R00161,lizard,"1",86160.119
Ctenophorus fionni,93640.585494,"2725",R00162,lizard,"1",93640.239
Ctenophorus fordi,1011597.340875,"2726",R00163,lizard,"1",1011595.686
Ctenophorus gibba,52096.564507,"2727",R00164,lizard,"1",52095.763
Ctenophorus isolepis,3395116.938401,"2728",R00165,lizard,"1",3395127.091
Ctenophorus maculatus,567393.558680,"2729",R00166,lizard,"1",567390.430
Ctenophorus maculosus,104517.396835,"2730",R00167,lizard,"1",104515.147
Ctenophorus mckenziei,35921.244711,"2731",R00168,lizard,"1",35920.215
Ctenophorus mirrityana,2819.186671,"2732",R00169,lizard,"1",2819.185
Ctenophorus nguyarna,3607.116423,"2733",R00170,lizard,"1",3606.906
Ctenophorus nuchalis,4760177.733168,"2734",R00171,lizard,"1",4760196.484
Ctenophorus ornatus,283917.966847,"2735",R00172,lizard,"1",283915.982
Ctenophorus parviceps,60687.848926,"2736",R00173,lizard,"1",60687.894
Ctenophorus pictus,2035305.087152,"2737",R00174,lizard,"1",2035288.560
Ctenophorus reticulatus,1835319.388027,"2738",R00175,lizard,"1",1835316.350
Ctenophorus rufescens,155670.811515,"2739",R00176,lizard,"1",155671.028
Ctenophorus salinarum,577821.550082,"2740",R00177,lizard,"1",577820.492
Ctenophorus scutulatus,844603.200525,"2741",R00178,lizard,"1",844598.647
Ctenophorus tjantjalka,98670.184688,"2742",R00179,lizard,"1",98672.452
Ctenophorus vadnappa,30356.345785,"2743",R00180,lizard,"1",30356.394
Ctenophorus yinnietharra,13839.373077,"2744",R00181,lizard,"1",13839.406
Ctenosaura acanthura,57626.880283,"2745",R05211,lizard,"1",57621.219
Ctenosaura alfredschmidti,14197.264179,"2746",R05212,lizard,"1",14202.979
Ctenosaura bakeri,42.083674,"2747",R05213,lizard,"1",42.084
Ctenosaura clarki,8942.939029,"2748",R05214,lizard,"1",8942.950
Ctenosaura conspicuosa,37.643476,"2749",R05215,lizard,"1",37.643
Ctenosaura defensor,30303.859926,"2750",R05216,lizard,"1",30302.647
Ctenosaura flavidorsalis,9552.906807,"2751",R05217,lizard,"1",9552.825
Ctenosaura hemilopha,15847.803912,"2752",R05218,lizard,"1",15845.082
Ctenosaura macrolopha,39.985123,"2753",R05219,lizard,"1",39.985
Ctenosaura melanosterna,587.220112,"2754",R05220,lizard,"1",587.221
Ctenosaura nolascensis,1.240665,"2755",R05221,lizard,"1",1.241
Ctenosaura oaxacana,8176.727757,"2756",R05222,lizard,"1",8176.786
Ctenosaura oedirhina,160.302351,"2757",R05223,lizard,"1",160.302
Ctenosaura palearis,5173.152688,"2758",R05224,lizard,"1",5173.145
Ctenosaura pectinata,31983.942791,"2759",R05225,lizard,"1",31985.559
Ctenosaura quinquecarinata,18899.947565,"2760",R05226,lizard,"1",18900.870
Ctenosaura similis,831119.821238,"2761",R05227,lizard,"1",831119.578
Ctenotus agrestis,4130.315484,"2762",R07311,lizard,"1",4130.319
Ctenotus alacer,613683.034078,"2763",R07312,lizard,"1",613684.625
Ctenotus alleni,58878.342153,"2764",R07313,lizard,"1",58877.859
Ctenotus allotropis,319705.230438,"2765",R07314,lizard,"1",319704.898
Ctenotus angusticeps,9622.782932,"2766",R07315,lizard,"1",9622.968
Ctenotus aphrodite,12156.411966,"2767",R07316,lizard,"1",12156.379
Ctenotus arcanus,37045.411089,"2768",R07317,lizard,"1",37045.695
Ctenotus ariadnae,939203.847544,"2769",R07318,lizard,"1",939202.615
Ctenotus arnhemensis,13671.896183,"2770",R07319,lizard,"1",13671.913
Ctenotus astarte,127737.021090,"2771",R07320,lizard,"1",127735.825
Ctenotus astictus,59736.985444,"2772",R07321,lizard,"1",59737.634
Ctenotus atlas,898990.632321,"2773",R07322,lizard,"1",898995.255
Ctenotus australis,71142.722957,"2774",R07323,lizard,"1",71142.131
Ctenotus borealis,130437.164735,"2775",R07324,lizard,"1",130438.620
Ctenotus brachyonyx,509723.497596,"2776",R07325,lizard,"1",509748.256
Ctenotus brevipes,163828.316701,"2777",R07326,lizard,"1",163828.527
Ctenotus brooksi,1847476.849310,"2778",R07327,lizard,"1",1847466.450
Ctenotus burbidgei,84185.430820,"2779",R07328,lizard,"1",84185.935
Ctenotus calurus,1399960.081897,"2780",R07329,lizard,"1",1399958.531
Ctenotus capricorni,19951.274082,"2781",R07330,lizard,"1",19951.240
Ctenotus catenifer,96731.343580,"2782",R07331,lizard,"1",96728.887
Ctenotus coggeri,7702.658945,"2783",R07332,lizard,"1",7702.671
Ctenotus colletti,838807.704087,"2784",R07333,lizard,"1",838804.003
Ctenotus decaneurus,179143.511036,"2785",R07334,lizard,"1",179143.754
Ctenotus delli,3989.261441,"2786",R07335,lizard,"1",3989.308
Ctenotus dux,798322.042821,"2787",R07336,lizard,"1",798315.716
Ctenotus ehmanni,17831.013788,"2788",R07337,lizard,"1",17830.990
Ctenotus essingtonii,415811.050640,"2789",R07338,lizard,"1",415811.880
Ctenotus eurydice,43379.927151,"2790",R07339,lizard,"1",43380.143
Ctenotus eutaenius,24354.093765,"2791",R07340,lizard,"1",24354.253
Ctenotus fallens,130710.847686,"2792",R07341,lizard,"1",130710.198
Ctenotus gagudju,17671.381686,"2793",R07342,lizard,"1",17671.227
Ctenotus gemmula,241201.992799,"2794",R07343,lizard,"1",241199.840
Ctenotus grandis,1820233.862716,"2795",R07344,lizard,"1",1820238.176
Ctenotus greeri,677988.587474,"2796",R07345,lizard,"1",677985.499
Ctenotus halysis,56685.846659,"2797",R07346,lizard,"1",56686.885
Ctenotus hanloni,1167455.607492,"2798",R07347,lizard,"1",1167440.916
Ctenotus hebetior,366577.976385,"2799",R07348,lizard,"1",366579.998
Ctenotus helenae,2426978.693659,"2800",R07349,lizard,"1",2427000.558
Ctenotus hilli,124052.968658,"2801",R07350,lizard,"1",124053.563
Ctenotus iapetus,40566.355773,"2802",R07351,lizard,"1",40566.596
Ctenotus impar,403164.293714,"2803",R07352,lizard,"1",403165.941
Ctenotus ingrami,541717.842355,"2804",R07353,lizard,"1",541720.849
Ctenotus inornatus,1078848.808031,"2805",R07354,lizard,"1",1078858.557
Ctenotus joanae,785396.176154,"2806",R07355,lizard,"1",785400.120
Ctenotus kurnbudj,10487.191087,"2807",R07356,lizard,"1",10487.239
Ctenotus labillardieri,118298.050990,"2808",R07357,lizard,"1",118295.740
Ctenotus lancelini,805.530320,"2809",R07358,lizard,"1",805.472
Ctenotus lateralis,362906.885590,"2810",R07359,lizard,"1",362908.021
Ctenotus leae,1197359.014517,"2811",R07360,lizard,"1",1197355.154
Ctenotus leonhardii,3879842.431226,"2812",R07361,lizard,"1",3879847.874
Ctenotus maryani,49070.006267,"2813",R07362,lizard,"1",49070.082
Ctenotus mastigura,23594.882393,"2814",R07363,lizard,"1",23595.067
Ctenotus mesotes,6742.771419,"2815",R07364,lizard,"1",6742.974
Ctenotus militaris,214988.902338,"2816",R07365,lizard,"1",214989.693
Ctenotus mimetes,521558.792054,"2817",R07366,lizard,"1",521558.500
Ctenotus monticola,15251.117117,"2818",R07367,lizard,"1",15251.137
Ctenotus nasutus,376986.615746,"2819",R07368,lizard,"1",376986.463
Ctenotus nigrilineatus,2864.766451,"2820",R07369,lizard,"1",2864.775
Ctenotus nullum,9074.286679,"2821",R07370,lizard,"1",9074.245
Ctenotus olympicus,394326.221948,"2822",R07371,lizard,"1",394332.330
Ctenotus ora,6706.612434,"2823",R07372,lizard,"1",6706.867
Ctenotus orientalis,879541.152016,"2824",R07373,lizard,"1",879472.214
Ctenotus pallescens,134304.487125,"2825",R07374,lizard,"1",134303.890
Ctenotus pantherinus,5029065.685351,"2826",R07375,lizard,"1",5029074.141
Ctenotus piankai,2344366.418101,"2827",R07376,lizard,"1",2344373.408
Ctenotus pulchellus,354057.930227,"2828",R07377,lizard,"1",354058.528
Ctenotus quattuordecimlineatus,1205830.775984,"2829",R07378,lizard,"1",1205827.937
Ctenotus quinkan,21344.874675,"2830",R07379,lizard,"1",21344.911
Ctenotus quirinus,190263.137754,"2831",R07380,lizard,"1",190263.943
Ctenotus rawlinsoni,4048.426748,"2832",R07381,lizard,"1",4048.425
Ctenotus regius,1242444.252558,"2833",R07382,lizard,"1",1242443.890
Ctenotus rimacolus,56551.095383,"2834",R07383,lizard,"1",56551.177
Ctenotus robustus,2926331.453580,"2835",R07384,lizard,"1",2926339.438
Ctenotus rosarium,22212.633940,"2836",R07385,lizard,"1",22212.390
Ctenotus rubicundus,81260.196083,"2837",R07386,lizard,"1",81260.285
Ctenotus rufescens,6308.250770,"2838",R07387,lizard,"1",6308.318
Ctenotus rutilans,65154.300513,"2839",R07388,lizard,"1",65154.397
Ctenotus saxatilis,2726574.932440,"2840",R07389,lizard,"1",2726581.397
Ctenotus schevilli,117926.457008,"2841",R07390,lizard,"1",117926.599
Ctenotus schomburgkii,3450360.799830,"2842",R07391,lizard,"1",3450348.867
Ctenotus septenarius,106057.368080,"2843",R07392,lizard,"1",106056.910
Ctenotus serotinus,19819.371498,"2844",R07393,lizard,"1",19818.499
Ctenotus serventyi,236449.519741,"2845",R07394,lizard,"1",236453.947
Ctenotus severus,495712.665458,"2846",R07395,lizard,"1",495711.524
Ctenotus spaldingi,1023791.098288,"2847",R07396,lizard,"1",1023794.765
Ctenotus storri,24563.735919,"2848",R07397,lizard,"1",24563.959
Ctenotus strauchii,1917102.982113,"2849",R07398,lizard,"1",1917107.306
Ctenotus striaticeps,39495.864946,"2850",R07399,lizard,"1",39495.990
Ctenotus stuarti,6865.846219,"2851",R07400,lizard,"1",6865.952
Ctenotus taeniolatus,838424.217662,"2852",R07401,lizard,"1",838426.725
Ctenotus tanamiensis,449282.213974,"2853",R07402,lizard,"1",449282.836
Ctenotus tantillus,71881.436004,"2854",R07403,lizard,"1",71882.190
Ctenotus terrareginae,10988.849248,"2855",R07404,lizard,"1",10988.863
Ctenotus uber,2465051.437785,"2856",R07405,lizard,"1",2465042.424
Ctenotus vagus,31.877108,"2857",R07406,lizard,"1",31.877
Ctenotus vertebralis,29409.270568,"2858",R07407,lizard,"1",29409.350
Ctenotus xenopleura,35022.315442,"2859",R07408,lizard,"1",35022.151
Ctenotus youngsoni,10769.753505,"2860",R07409,lizard,"1",10769.804
Ctenotus zastictus,12116.850922,"2861",R07410,lizard,"1",12117.125
Ctenotus zebrilla,49293.527180,"2862",R07411,lizard,"1",49293.457
Cubophis brooksi,0.640161,"2863",R02865,snake,"1",0.640
Cubophis cantherigerus,93669.814935,"2864",R02866,snake,"1",93669.812
Cubophis caymanus,209.173172,"2865",R02867,snake,"1",209.173
Cubophis fuscicauda,287.755659,"2866",R02868,snake,"1",287.756
Cubophis ruttyi,287.755659,"2867",R02869,snake,"1",287.756
Cubophis vudii,6210.704695,"2868",R02870,snake,"1",6210.710
Cuora amboinensis,3735706.500838,"2869",R10040,turtle,"1",3735811.898
Cuora aurocapitata,48255.126904,"2870",R10041,turtle,"1",48254.723
Cuora bourreti,73890.093784,"2871",R10042,turtle,"1",73890.111
Cuora flavomarginata,319859.728480,"2872",R10043,turtle,"1",319873.383
Cuora galbinifrons,227366.922927,"2873",R10044,turtle,"1",227324.802
Cuora mccordi,10118.686371,"2874",R10045,turtle,"1",10119.385
Cuora mouhotii,576778.505884,"2875",R10046,turtle,"1",576747.605
Cuora pani,139930.797449,"2876",R10047,turtle,"1",139630.390
Cuora picturata,73033.533236,"2877",R10048,turtle,"1",73034.291
Cuora trifasciata,594811.408914,"2878",R10049,turtle,"1",594833.499
Cuora yunnanensis,7991.993208,"2879",R10050,turtle,"1",7992.247
Cuora zhoui,34767.461570,"2880",R10051,turtle,"1",34803.990
Cyclanorbis elegans,595949.118071,"2881",R10223,turtle,"1",595942.275
Cyclanorbis senegalensis,3707436.244832,"2882",R10224,turtle,"1",3707435.567
Cyclemys atripons,179594.958278,"2883",R10052,turtle,"1",179604.088
Cyclemys dentata,2747734.665378,"2884",R10053,turtle,"1",2747690.699
Cyclemys enigmatica,67747.913764,"2885",R10054,turtle,"1",67747.923
Cyclemys fusca,54258.122770,"2886",R10055,turtle,"1",54257.084
Cyclemys gemeli,228429.628998,"2887",R10056,turtle,"1",228442.843
Cyclemys oldhamii,3124603.659973,"2888",R10057,turtle,"1",3125254.768
Cyclemys pulchristriata,141383.179811,"2889",R10058,turtle,"1",141384.767
Cyclocorus lineatus,145251.005596,"2890",R01257,snake,"1",145251.017
Cyclocorus nuchalis,113559.964928,"2891",R01258,snake,"1",113560.066
Cycloderma aubryi,1346807.691715,"2892",R10225,turtle,"1",1346817.974
Cycloderma frenatum,994083.478801,"2893",R10226,turtle,"1",994104.350
Cyclodomorphus branchialis,56705.925575,"2894",R07412,lizard,"1",56705.558
Cyclodomorphus casuarinae,66686.234986,"2895",R07413,lizard,"1",66686.592
Cyclodomorphus celatus,99784.665292,"2896",R07414,lizard,"1",99784.052
Cyclodomorphus maxima,36952.904987,"2897",R07415,lizard,"1",36953.398
Cyclodomorphus melanops,3016993.083492,"2898",R07416,lizard,"1",3016991.667
Cyclodomorphus michaeli,24262.130163,"2899",R07417,lizard,"1",24261.434
Cyclodomorphus praealtus,15721.611476,"2900",R07418,lizard,"1",15721.321
Cyclodomorphus venustus,268788.031314,"2901",R07419,lizard,"1",268788.252
Cyclophiops doriae,59225.791882,"2902",R01259,snake,"1",59226.158
Cyclophiops hamptoni,142.658118,"2903",R01260,snake,"1",142.658
Cyclophiops herminae,798.671966,"2904",R01261,snake,"1",798.670
Cyclophiops major,2389651.019396,"2905",R01262,snake,"1",2390269.164
Cyclophiops multicinctus,469465.800016,"2906",R01263,snake,"1",469424.976
Cyclophiops semicarinatus,2703.252929,"2907",R01264,snake,"1",2703.247
Cyclotyphlops deharvengi,19.992561,"2908",R09225,snake,"1",19.993
Cyclura carinata,442.820776,"2909",R05228,lizard,"1",442.821
Cyclura collei,818.882380,"2910",R05229,lizard,"1",818.882
Cyclura cornuta,33737.228736,"2911",R05230,lizard,"1",33737.229
Cyclura cychlura,503.239212,"2912",R05231,lizard,"1",503.240
Cyclura lewisi,210.620022,"2913",R05232,lizard,"1",210.620
Cyclura nubila,93426.828621,"2914",R05233,lizard,"1",93426.825
Cyclura pinguis,11.616954,"2915",R05234,lizard,"1",11.617
Cyclura ricordi,1498.377355,"2916",R05235,lizard,"1",1498.349
Cyclura rileyi,174.907055,"2917",R05236,lizard,"1",174.907
Cylindrophis aruensis,8050.311389,"2918",R02005,snake,"1",8050.312
Cylindrophis boulengeri,31872.927319,"2919",R02006,snake,"1",31872.928
Cylindrophis engkariensis,303.555758,"2920",R02007,snake,"1",303.556
Cylindrophis isolepis,9.996281,"2921",R02008,snake,"1",9.996
Cylindrophis lineatus,1312.079517,"2922",R02009,snake,"1",1312.080
Cylindrophis maculatus,26786.096386,"2923",R02010,snake,"1",26786.096
Cylindrophis melanotus,14461.417359,"2924",R02011,snake,"1",14461.465
Cylindrophis opisthorhodus,19363.270514,"2925",R02012,snake,"1",19363.271
Cylindrophis ruffus,3063548.341460,"2926",R02013,snake,"1",3063770.506
Cylindrophis yamdena,9.493870,"2927",R02014,snake,"1",9.494
Cynisca bifrontalis,823.690554,"2928",R00608,worm lizard,"1",823.691
Cynisca chirioi,19.992561,"2929",R00609,worm lizard,"1",19.993
Cynisca feae,152119.912778,"2930",R00611,worm lizard,"1",152120.444
Cynisca gansi,33.106977,"2931",R00612,worm lizard,"1",33.107
Cynisca haugi,17741.782759,"2932",R00613,worm lizard,"1",17741.794
Cynisca ivoirensis,9.996281,"2933",R00614,worm lizard,"1",9.996
Cynisca kigomensis,123.212088,"2934",R00615,worm lizard,"1",123.212
Cynisca kraussi,10607.537443,"2935",R00616,worm lizard,"1",10609.446
Cynisca leonina,5744.065204,"2936",R00617,worm lizard,"1",5744.065
Cynisca leucura,238846.007016,"2937",R00618,worm lizard,"1",239710.750
Cynisca liberiensis,129282.341162,"2938",R00619,worm lizard,"1",129282.385
Cynisca manei,9.996281,"2939",R00620,worm lizard,"1",9.996
Cynisca muelleri,2979.090717,"2940",R00621,worm lizard,"1",2979.091
Cynisca nigeriensis,137.625966,"2941",R00622,worm lizard,"1",137.626
Cynisca oligopholis,3582.073966,"2942",R00623,worm lizard,"1",3582.073
Cynisca rouxae,436.755311,"2943",R00624,worm lizard,"1",436.755
Cynisca schaeferi,97.066498,"2944",R00625,worm lizard,"1",97.066
Cynisca senegalensis,2296.322953,"2945",R00626,worm lizard,"1",2296.323
Cynisca williamsi,107.549212,"2946",R00627,worm lizard,"1",107.549
Cyrtodactylus aaroni,12793.584295,"2947",R03957,lizard,"1",12793.588
Cyrtodactylus adleri,999.442420,"2948",R03958,lizard,"1",999.442
Cyrtodactylus adorus,6825.905881,"2949",R03959,lizard,"1",6825.901
Cyrtodactylus aequalis,435.113008,"2950",R03960,lizard,"1",435.113
Cyrtodactylus agusanensis,114914.395044,"2951",R03961,lizard,"1",114914.392
Cyrtodactylus albofasciatus,99032.385259,"2952",R03962,lizard,"1",99043.056
Cyrtodactylus angularis,1562.755871,"2953",R03963,lizard,"1",1562.728
Cyrtodactylus annandalei,15742.975396,"2954",R03964,lizard,"1",15741.363
Cyrtodactylus annulatus,139190.245645,"2955",R03965,lizard,"1",139190.244
Cyrtodactylus arcanus,19.992561,"2956",R03966,lizard,"1",19.993
Cyrtodactylus astrum,1900.118389,"2957",R03967,lizard,"1",1900.203
Cyrtodactylus aurensis,4.748327,"2958",R03968,lizard,"1",4.748
Cyrtodactylus auribalteatus,19.992561,"2959",R03969,lizard,"1",19.993
Cyrtodactylus australotitiwangsaensis,19.992561,"2960",R03970,lizard,"1",19.993
Cyrtodactylus ayeyarwadyensis,33449.724207,"2961",R03971,lizard,"1",33449.995
Cyrtodactylus badenensis,9.996281,"2962",R03972,lizard,"1",9.996
Cyrtodactylus baluensis,56929.780743,"2963",R03973,lizard,"1",56929.781
Cyrtodactylus batik,0.019194,"2964",R03974,lizard,"1",0.019
Cyrtodactylus batucolus,11.321701,"2965",R03975,lizard,"1",11.322
Cyrtodactylus bichnganae,9.996281,"2966",R03976,lizard,"1",9.996
Cyrtodactylus bidoupimontis,4970.316826,"2967",R03977,lizard,"1",4970.231
Cyrtodactylus bintangrendah,1182.281713,"2968",R03978,lizard,"1",1182.219
Cyrtodactylus bintangtinggi,1067.286723,"2969",R03979,lizard,"1",1067.286
Cyrtodactylus biordinis,5374.120213,"2970",R03980,lizard,"1",5374.120
Cyrtodactylus bobrovi,525.093718,"2971",R03981,lizard,"1",525.097
Cyrtodactylus boreoclivus,1183.521516,"2972",R03982,lizard,"1",1183.499
Cyrtodactylus brevidactylus,2752.851531,"2973",R03983,lizard,"1",2753.549
Cyrtodactylus brevipalmatus,49830.338317,"2974",R03984,lizard,"1",49871.127
Cyrtodactylus buchardi,9.996281,"2975",R03985,lizard,"1",9.996
Cyrtodactylus bugiamapensis,19.992561,"2976",R03986,lizard,"1",19.993
Cyrtodactylus caovansungi,9.996281,"2977",R03987,lizard,"1",9.996
Cyrtodactylus capreoloides,10453.607777,"2978",R03988,lizard,"1",10453.566
Cyrtodactylus cattienensis,9.996281,"2979",R03989,lizard,"1",9.996
Cyrtodactylus cavernicolus,996.731191,"2980",R03990,lizard,"1",996.732
Cyrtodactylus celatus,9.996281,"2981",R03991,lizard,"1",9.996
