Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Ablepharus alaicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous/Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,NA,NA,22.1,NA,viviparous,NA,2,7,NA,No,No,NA,NA,NA
Ablepharus anatolicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus bivittatus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,600,2900,Carnivorous,Diurnal,NA,NA,4.4,56.5,NA,18.5,NA,oviparous,4.0,2,5,NA,NA,NA,NA,NA,NA
Ablepharus budaki,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Shrubland,0,1700,Carnivorous,Diurnal,NA,NA,2.0,36.8,NA,NA,NA,oviparous,3.5,2,5,NA,NA,NA,NA,NA,NA
Ablepharus chernovi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous/Terrestrial,Forest/Grassland/Shrubland,150,1700,Carnivorous,Diurnal,NA,NA,3.0,44.4,NA,NA,NA,oviparous,3.5,3,4,NA,NA,NA,NA,NA,NA
Ablepharus darvazi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,NA,Forest/Shrubland,NA,NA,NA,Diurnal,NA,NA,1.5,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus deserti,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Desert/Forest/Shrubland/Wetlands,40,3000,Carnivorous,Diurnal,NA,NA,3.9,46,NA,17.5,NA,oviparous,4.5,1,8,NA,NA,NA,NA,NA,NA
Ablepharus eremchenkoi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,50,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus grayanus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Fossorial/Terrestrial,Desert/Grassland/Rocky/Wetlands,222,2710,Carnivorous,Diurnal,NA,NA,0.7,NA,NA,14.5,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Ablepharus himalayanus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,1.2,61.8,NA,NA,NA,ovoviviparous,3.0,1,4,NA,NA,NA,27.5,NA,NA
Ablepharus kitaibelii,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Grassland/Shrubland,0,2000,Carnivorous,Diurnal,NA,4.0,4.8,43.4,NA,20,NA,oviparous,2.8,2,6,NA,NA,NA,27.0,NA,NA
Ablepharus ladacensis,Squamata,Scincidae,Ablepharus,Oriental,Saxicolous/Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,47,NA,NA,NA,ovoviviparous,NA,1,4,NA,NA,NA,NA,NA,NA
Ablepharus lindbergi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Fossorial/Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,2.3,NA,NA,NA,NA,NA,4.5,4,5,NA,NA,NA,NA,NA,NA
Ablepharus mahabharatus,Squamata,Scincidae,Ablepharus,Oriental,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus nepalensis,Squamata,Scincidae,Ablepharus,Oriental,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,41,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus pannonicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Cryptic/Terrestrial,Desert/Forest/Grassland/Rocky/Shrubland,300,2800,Carnivorous,Diurnal,NA,NA,3.1,NA,NA,20,NA,oviparous,4.0,2,6,NA,NA,NA,NA,NA,NA
Ablepharus rueppellii,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Shrubland/Wetlands,0,1660,Carnivorous,Diurnal,NA,8.3,2.6,35.3,NA,18.5,NA,oviparous,1.8,1,6,1.0,NA,NA,29.5,NA,NA
Ablepharus sikimmensis,Squamata,Scincidae,Ablepharus,Oriental,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,ACT,NA,NA,51.4,NA,19,NA,oviparous,5.0,2,8,NA,NA,NA,29.0,NA,NA
Ablepharus tragbulensis,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous,NA,NA,NA,NA,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia antauges,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia anzuetoi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1220,2290,NA,Diurnal,NA,NA,44.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia aurita,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,2660,NA,Diurnal,NA,NA,33.9,111,NA,33,NA,viviparous,12.0,12,12,NA,No,No,NA,NA,NA
Abronia bogerti,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,9.6,87,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia campbelli,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,1900,NA,Diurnal,NA,NA,36.3,114,NA,NA,NA,viviparous,8.0,4,12,NA,No,No,NA,NA,NA
Abronia chiszari,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,440,1000,NA,Diurnal,NA,NA,18.6,96,NA,41,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia cuchumatanus,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia cuetzpali,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,NA,114,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia deppii,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2000,2620,NA,Diurnal,NA,NA,30.2,63,NA,34.2,NA,viviparous,6.0,6,6,NA,No,No,NA,NA,NA
Abronia fimbriata,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1400,2100,NA,Diurnal,NA,NA,38.9,101.5,NA,32,NA,viviparous,4.0,4,4,NA,No,No,NA,NA,NA
Abronia frosti,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2800,2835,NA,Diurnal,NA,NA,21.9,94.8,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia fuscolabialis,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,NA,27.9,NA,NA,37,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia gadovii,Squamata,Anguidae,Abronia,Neotropic,Arboreal/Terrestrial,NA,NA,NA,Carnivorous,NA,ACT,NA,NA,83.6,NA,28.7,NA,viviparous,NA,2,12,NA,No,No,NA,NA,NA
Abronia gaiophantasma,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,21.8,71,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA
Abronia graminea,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1350,2750,Carnivorous,Diurnal,NA,10.0,22.4,104.8,NA,34,NA,viviparous,5.0,1,12,NA,No,No,NA,NA,NA
Abronia juarezi,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,ACT,NA,NA,70.1,NA,25,NA,viviparous,NA,3,3,NA,No,No,NA,NA,NA
Abronia leurolepis,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,NA,18.6,105,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA
Abronia lythrochila,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1840,3000,NA,Diurnal,NA,NA,29.5,NA,NA,NA,NA,viviparous,9.5,1,18,NA,No,No,NA,NA,NA
Abronia martindelcampoi,Squamata,Anguidae,Abronia,Neotropic,NA,Forest,2100,2600,NA,NA,NA,NA,25.7,NA,NA,NA,NA,viviparous,4.0,2,6,NA,No,No,NA,NA,NA
Abronia matudai,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1950,2630,NA,Diurnal,NA,NA,21.9,88,NA,NA,NA,viviparous,14.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia meledona,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2200,2660,NA,Diurnal,NA,NA,29.5,107.5,NA,30.5,NA,viviparous,14.0,12,16,NA,No,No,NA,NA,NA
Abronia mitchelli,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,NA,NA,NA,18.6,105,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia mixteca,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2130,2530,NA,Diurnal,NA,4.7,61.7,NA,NA,NA,NA,viviparous,7.0,7,7,NA,No,No,NA,NA,NA
Abronia montecristoi,Squamata,Anguidae,Abronia,Neotropic,Arboreal/Terrestrial,Forest,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia monticola,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,AMB,NA,NA,74.5,NA,25,NA,viviparous,NA,2,10,NA,No,No,23.7,NA,NA
Abronia moreletii,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,82,NA,30.5,NA,viviparous,6.5,3,10,NA,No,No,NA,NA,NA
Abronia morenica,Squamata,Anguidae,Abronia,Neotropic,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia oaxacae,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2100,2750,NA,Diurnal,NA,NA,26.9,NA,NA,NA,NA,viviparous,1.0,1,1,NA,No,No,NA,NA,NA
Abronia ochoterenai,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,2300,NA,Diurnal,NA,NA,24.5,108.8,NA,30,NA,viviparous,13.0,13,13,NA,No,No,NA,NA,NA
Abronia ornelasi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,14.1,71,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia ramirezi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,12.2,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia reidi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia salvadorensis,Squamata,Anguidae,Abronia,Neotropic,Arboreal/Terrestrial,Forest,NA,NA,NA,Diurnal,NA,NA,12.6,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA
Abronia smithi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,2800,NA,Diurnal,NA,NA,21.9,99,NA,NA,NA,viviparous,3.5,3,4,NA,No,No,NA,NA,NA
Abronia taeniata,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,120,2410,Carnivorous,NA,ACT,NA,47.9,94.5,NA,31,NA,viviparous,6.4,3,10,NA,No,No,NA,NA,NA
Abronia vasconcelosii,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2100,2200,Carnivorous,Diurnal,NA,NA,29.5,110.2,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Abronia viridiflava,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Abronia zongolica,Squamata,Anguidae,Abronia,Neotropic,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus adramitanus,Squamata,Agamidae,Acanthocercus,Saharo-Sindian,Arboreal/Saxicolous/Terrestrial,Rocky,NA,NA,NA,Diurnal,NA,NA,134.9,NA,NA,NA,NA,oviparous,8.0,4,12,NA,NA,NA,NA,NA,NA
Acanthocercus annectans,Squamata,Agamidae,Acanthocercus,Afrotropic,Saxicolous,Forest/Rocky/Savanna/Wetlands,0,2800,Carnivorous,Diurnal,NA,NA,123.0,132,NA,NA,NA,oviparous,9.0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus atricollis,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,Savanna,0,3000,Carnivorous,Diurnal,AMB,10.9,177.8,113.9,NA,34,NA,oviparous,11.4,1,17,1.0,NA,NA,39.9,NA,NA
Acanthocercus branchi,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,Savanna,NA,NA,NA,Diurnal,NA,NA,130.3,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus ceriacoi,Squamata,Agamidae,Acanthocercus,Afrotropic,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus cyanocephalus,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal/Saxicolous,Savanna,NA,NA,NA,NA,NA,NA,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus cyanogaster,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal/Saxicolous,Grassland/Savanna,1400,2500,Carnivorous,Diurnal,NA,NA,166.0,90.5,NA,NA,NA,oviparous,11.0,3,13,NA,NA,NA,NA,NA,NA
Acanthocercus gregorii,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal/Saxicolous/Terrestrial,Grassland/Savanna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus guentherpetersi,Squamata,Agamidae,Acanthocercus,Afrotropic,Saxicolous,Shrubland,NA,NA,NA,NA,NA,NA,35.5,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus kiwuensis,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,Savanna,720,1710,NA,NA,NA,NA,75.9,NA,NA,NA,NA,oviparous,5.0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus margaritae,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus minutus,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal/Saxicolous/Terrestrial,Savanna,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus phillipsii,Squamata,Agamidae,Acanthocercus,Afrotropic,Saxicolous,Savanna,NA,NA,Carnivorous,NA,NA,NA,47.5,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus ugandaensis,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocercus yemensis,Squamata,Agamidae,Acanthocercus,Saharo-Sindian,Saxicolous,Rocky,2000,3000,Omnivorous,Diurnal,AMB,NA,87.1,95,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,29.0,NA,NA
Acanthochelys macrocephala,Testudines,Chelidae,Acanthochelys,Neotropic,Aquatic/Terrestrial,Wetlands,NA,500,Carnivorous,NA,NA,NA,2895.0,NA,NA,NA,20.0,oviparous,6.0,4,8,NA,31.0,32.5,NA,NA,NA
Acanthochelys pallidipectoris,Testudines,Chelidae,Acanthochelys,Neotropic,Aquatic/Terrestrial,Grassland/Wetlands,NA,NA,Carnivorous,NA,ACT,NA,872.0,295,235,NA,10.3,oviparous,3.5,4,9,NA,31.8,30.8,NA,NA,NA
Acanthochelys radiolata,Testudines,Chelidae,Acanthochelys,Neotropic,Aquatic/Terrestrial,Wetlands,NA,NA,NA,NA,NA,NA,1126.0,195,173,NA,10.0,oviparous,3.0,2,4,5.0,26.7,25.0,NA,NA,NA
Acanthochelys spixii,Testudines,Chelidae,Acanthochelys,Neotropic,Aquatic,Wetlands,NA,NA,NA,Cathemeral,NA,8.20,759.0,160,NA,NA,NA,oviparous,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus aegyptius,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,30,350,Carnivorous,Diurnal,NA,NA,3.3,41,NA,NA,NA,oviparous,2.5,2,3,NA,NA,NA,32.0,NA,NA
Acanthodactylus ahmaddisii,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,NA,Shrubland,NA,NA,NA,Diurnal,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus arabicus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,NA,Desert/Savanna/Shrubland,NA,NA,NA,Diurnal,NA,NA,10.6,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus aureus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,185,1182,Carnivorous,Diurnal,NA,NA,8.1,50,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus bedriagai,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,810,1337,NA,Diurnal,NA,NA,10.5,NA,NA,28,NA,oviparous,5.0,3,7,NA,NA,NA,NA,NA,NA
Acanthodactylus beershebensis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,150,560,Carnivorous,Diurnal,ACT,4.6,16.6,64.9,NA,25,0.6,oviparous,4.9,3,8,1.0,NA,NA,33.6,NA,NA
Acanthodactylus blanci,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Forest/Shrubland,361,2160,Carnivorous,Diurnal,NA,NA,19.5,79.5,NA,NA,NA,oviparous,5.0,5,5,NA,NA,NA,NA,NA,NA
Acanthodactylus blanfordii,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Wetlands,0,1050,Carnivorous,Diurnal,ACT,NA,9.8,52.7,NA,NA,NA,oviparous,4.0,2,6,NA,NA,NA,NA,NA,NA
Acanthodactylus boskianus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,-385,2000,Carnivorous,Diurnal,ACT,9.0,19.5,60.1,NA,26.5,0.6,oviparous,4.3,1,8,1.0,NA,NA,36.2,NA,NA
Acanthodactylus boueti,Squamata,Lacertidae,Acanthodactylus,Afrotropic,Terrestrial,Savanna,NA,NA,NA,NA,NA,NA,5.8,56.6,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus busacki,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,810,1337,NA,Diurnal,NA,NA,9.3,NA,NA,NA,NA,oviparous,5.5,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus cantoris,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,0,300,Carnivorous,Diurnal,ACT,NA,19.1,48,NA,26,NA,oviparous,5.5,1,10,NA,NA,NA,NA,NA,NA
Acanthodactylus dumerilii,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,NA,NA,Carnivorous,Diurnal,NA,1.5,7.2,49.3,NA,26,NA,oviparous,1.5,1,2,3.5,NA,NA,NA,NA,NA
Acanthodactylus erythrurus,Squamata,Lacertidae,Acanthodactylus,Palearctic,Terrestrial,Forest/Rocky/Shrubland,0,2500,Carnivorous,Diurnal,Mixed,2.1,13.8,68.6,NA,29,NA,oviparous,3.7,1,8,1.5,NA,NA,34.8,NA,NA
Acanthodactylus felicis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,57,777,Carnivorous,Diurnal,ACT,NA,6.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus gongrorhynchatus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert,62,709,Carnivorous,Diurnal,ACT,NA,6.5,46.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus grandis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,173,1033,Carnivorous,Diurnal,ACT,NA,25.1,85.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus guineensis,Squamata,Lacertidae,Acanthodactylus,Afrotropic,Terrestrial,Forest/Savanna,NA,NA,NA,Diurnal,NA,NA,5.1,48,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus haasi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Arboreal/Terrestrial,Desert/Shrubland,NA,NA,Carnivorous,Diurnal,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus hardyi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,3.3,47.5,NA,NA,NA,NA,2.7,2,3,NA,NA,NA,NA,NA,NA
Acanthodactylus harranensis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Rocky,NA,NA,NA,Diurnal,NA,10.0,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus ilgazi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus khamirensis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,173,1033,NA,Diurnal,NA,NA,2.7,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus lacrymae,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus longipes,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,87,1059,Carnivorous,Diurnal,NA,NA,6.5,46.7,NA,23,NA,oviparous,2.7,2,3,NA,NA,NA,34.3,NA,NA
Acanthodactylus maculatus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland/Wetlands,NA,NA,Carnivorous,Diurnal,ACT,NA,5.6,57,NA,NA,NA,oviparous,3.3,2,4,NA,NA,NA,NA,NA,NA
Acanthodactylus margaritae,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,8.3,60.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus masirae,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert,0,600,Carnivorous,Diurnal,ACT,NA,3.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus micropholis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,173,1033,Carnivorous,Diurnal,NA,NA,6.5,61.5,NA,NA,NA,oviparous,3.0,2,4,NA,NA,NA,NA,NA,NA
Acanthodactylus montanus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus nilsoni,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Grassland/Shrubland,NA,NA,NA,Diurnal,NA,NA,9.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus opheodurus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland/Wetlands,90,100,Carnivorous,Diurnal,Mixed,NA,5.6,58,NA,NA,NA,oviparous,4.0,4,4,NA,NA,NA,35.1,NA,NA
Acanthodactylus orientalis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Grassland,1768,2801,NA,Diurnal,NA,NA,9.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus pardalis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Grassland/Shrubland,270,900,Carnivorous,Diurnal,AMB,4.0,10.5,61,NA,30,NA,oviparous,3.7,2,7,4.0,NA,NA,35.3,NA,NA
Acanthodactylus robustus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,NA,NA,Carnivorous,Diurnal,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus savignyi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,NA,NA,NA,Diurnal,NA,NA,9.8,52,NA,NA,NA,oviparous,5.0,4,6,NA,NA,NA,NA,NA,NA
Acanthodactylus schmidti,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert,57,968,Omnivorous,Diurnal,ACT,NA,26.3,NA,NA,34,NA,oviparous,3.0,1,4,NA,NA,NA,38.4,NA,NA
