Binomial,Area,FID_2,TID,Group,Value,area
Conolophus marthae,4712.623513,2509,R05208,lizard,1,4712623545
Conolophus pallidus,23.180358,2510,R05209,lizard,1,23180355.04
Conolophus subcristatus,6365.309839,2511,R05210,lizard,1,6365309768
Contomastix lacertoides,396696.4268,2523,R08914,lizard,1,3.967E+11
Contomastix leachei,143168.1053,2524,R08915,lizard,1,1.43169E+11
Contomastix serrana,1613.130925,2525,R08916,lizard,1,1613131208
Contomastix vacariensis,264189.1755,2526,R08917,lizard,1,2.64189E+11
Contomastix vittata,35321.68955,2527,R08918,lizard,1,35322370849
Copeoglossum arajara,258573.9182,2528,R07248,lizard,1,2.58574E+11
Copeoglossum aurae,3260.334424,2529,R07249,lizard,1,3260335257
Copeoglossum margaritae,9.996281,2530,R07250,lizard,1,9996280.672
Copeoglossum nigropunctatum,9739826.827,2531,R07251,lizard,1,9.74011E+12
Copeoglossum redondae,0.829518,2532,R07252,lizard,1,829518.726
Cophosaurus texanus,1343079.424,2533,R06606,lizard,1,1.34308E+12
Cophoscincopus durus,191527.4549,2534,R07253,lizard,1,1.91537E+11
Cophoscincopus greeri,176495.8626,2535,R07254,lizard,1,1.76495E+11
Cophoscincopus senegalensis,24124.24313,2536,R07255,lizard,1,24121879207
Cophoscincopus simulans,406826.3447,2537,R07256,lizard,1,4.06834E+11
Cophotis ceylanica,1561.572067,2538,R00149,lizard,1,1561570899
Cophotis dumbara,53.191764,2539,R00150,lizard,1,53191697.68
Cordylosaurus subtessellatus,668104.6888,2549,R04845,lizard,1,6.68104E+11
Cordylus angolensis,65441.99611,2550,R01921,lizard,1,65442073934
Cordylus aridus,4662.24688,2551,R01922,lizard,1,4662224470
Cordylus beraduccii,49154.47109,2552,R01923,lizard,1,49154504773
Cordylus cloetei,4183.660595,2553,R01924,lizard,1,4183660754
Cordylus cordylus,286620.0908,2554,R01925,lizard,1,2.86619E+11
Cordylus imkeae,4467.777256,2555,R01926,lizard,1,4467793440
Cordylus jonesii,747449.6447,2556,R01927,lizard,1,7.47488E+11
Cordylus machadoi,72865.70087,2557,R01928,lizard,1,72865555691
Cordylus macropholis,24266.63761,2558,R01929,lizard,1,24266658368
Cordylus marunguensis,6942.506304,2559,R01930,lizard,1,6942502159
Cordylus mclachlani,10898.23237,2560,R01931,lizard,1,10898032246
Cordylus meculae,822.778652,2561,R01932,lizard,1,822828893.3
Cordylus minor,6790.982792,2562,R01933,lizard,1,6790887627
Cordylus niger,1405.618512,2563,R01934,lizard,1,1405648516
Cordylus nyikae,14670.81711,2564,R01935,lizard,1,14671010041
Cordylus oelofseni,13909.75598,2565,R01936,lizard,1,13909797731
Cordylus rhodesianus,98893.94436,2566,R01937,lizard,1,98894297389
Cordylus rivae,42284.60524,2567,R01938,lizard,1,42284453731
Cordylus tropidosternum,1836862.37,2568,R01939,lizard,1,1.83682E+12
Cordylus ukingensis,9593.774064,2569,R01940,lizard,1,9593306728
Cordylus vittifer,336754.0063,2570,R01941,lizard,1,3.36753E+11
Correlophus belepensis,8.46681,2575,R02453,lizard,1,8466802.882
Correlophus ciliatus,2519.821011,2576,R02454,lizard,1,2519783911
Correlophus sarasinorum,1738.290457,2577,R02455,lizard,1,1738242195
Corucia zebrata,30511.32229,2578,R07257,lizard,1,30511324711
Coryphophylax brevicaudus,9.974626,2579,R00151,lizard,1,9974626.037
Coryphophylax subcristatus,6132.041309,2580,R00152,lizard,1,6132041209
Corytophanes cristatus,448422.3215,2581,R01988,lizard,1,4.48423E+11
Corytophanes hernandesii,170544.5309,2582,R01989,lizard,1,1.70551E+11
Corytophanes percarinatus,49099.75109,2583,R01990,lizard,1,49099174855
Crenadactylus ocellatus,3450858.88,2584,R02456,lizard,1,3.45087E+12
Cricosaura typica,4381.674097,2585,R09845,lizard,1,4383542746
Crocodilurus amazonicus,4223109.883,2587,R08919,lizard,1,4.22321E+12
Crossobamon orientalis,302261.6722,2601,R03955,lizard,1,3.02261E+11
Crotaphytus antiquus,976.500195,2646,R01993,lizard,1,976500195.6
Crotaphytus bicinctores,556347.3844,2647,R01994,lizard,1,5.56347E+11
Crotaphytus collaris,1914600.656,2648,R01995,lizard,1,1.9146E+12
Crotaphytus dickersonae,2198.202038,2649,R01996,lizard,1,2198321505
Crotaphytus grismeri,1483.63524,2650,R01997,lizard,1,1483636480
Crotaphytus insularis,931.871928,2651,R01998,lizard,1,931871804.4
Crotaphytus nebrius,98459.09925,2652,R01999,lizard,1,98458901046
Crotaphytus reticulatus,95194.04463,2653,R02000,lizard,1,95194012756
Crotaphytus vestigium,62133.50427,2654,R02001,lizard,1,62126198754
Cryptactites peringueyi,363.751785,2656,R03956,lizard,1,363739733.6
Cryptagama aurita,124597.5088,2657,R00153,lizard,1,1.24598E+11
Cryptoblepharus adamsi,80315.95843,2658,R07258,lizard,1,80316308043
Cryptoblepharus africanus,191268.3737,2659,R07259,lizard,1,1.91267E+11
Cryptoblepharus ahli,2.301377,2660,R07260,lizard,1,2301399.922
Cryptoblepharus aldabrae,169.555014,2661,R07261,lizard,1,169555071.6
Cryptoblepharus ater,1031.546606,2662,R07262,lizard,1,1031546498
Cryptoblepharus australis,3419393.017,2663,R07263,lizard,1,3.41942E+12
Cryptoblepharus balinensis,151783.3961,2664,R07264,lizard,1,1.51787E+11
Cryptoblepharus bitaeniatus,21.722697,2665,R07265,lizard,1,21722630.52
Cryptoblepharus boutonii,9.804474,2666,R07266,lizard,1,9804494.508
Cryptoblepharus buchananii,1127319.007,2667,R07267,lizard,1,1.12731E+12
Cryptoblepharus burdeni,5364.504095,2668,R07268,lizard,1,5370488766
Cryptoblepharus caudatus,3.413666,2669,R07269,lizard,1,3413586.777
Cryptoblepharus cognatus,319.372332,2670,R07270,lizard,1,319372352.7
Cryptoblepharus cursor,9844.633796,2671,R07271,lizard,1,9844649054
Cryptoblepharus cygnatus,99149.15179,2672,R07272,lizard,1,99150618378
Cryptoblepharus daedalos,16180.56112,2673,R07273,lizard,1,16180346814
Cryptoblepharus egeriae,9.996281,2674,R07274,lizard,1,9996280.673
Cryptoblepharus eximius,4164.638393,2675,R07275,lizard,1,4164606149
Cryptoblepharus exochus,21464.63858,2676,R07276,lizard,1,21464849259
Cryptoblepharus fuhni,8747.439732,2677,R07277,lizard,1,8747454423
Cryptoblepharus furvus,884.621261,2678,R07278,lizard,1,884621264.9
Cryptoblepharus gloriosus,537.27549,2679,R07279,lizard,1,537275550.2
Cryptoblepharus gurrmul,321.063008,2680,R07280,lizard,1,321067320.2
Cryptoblepharus juno,67031.68282,2681,R07281,lizard,1,67033274703
Cryptoblepharus keiensis,1077.192569,2682,R07282,lizard,1,1077192828
Cryptoblepharus leschenault,53106.87043,2683,R07283,lizard,1,53106875931
Cryptoblepharus litoralis,130085.6673,2684,R07284,lizard,1,1.30089E+11
Cryptoblepharus megastictus,461006.7651,2685,R07285,lizard,1,4.6101E+11
Cryptoblepharus mertensi,34844.57537,2686,R07286,lizard,1,34844454263
Cryptoblepharus metallicus,2093946.007,2687,R07287,lizard,1,2.09402E+12
Cryptoblepharus nigropunctatus,68.03345,2688,R07288,lizard,1,68033435.36
Cryptoblepharus novaeguineae,58787.48803,2689,R07289,lizard,1,58788054509
Cryptoblepharus novocaledonicus,2059.252778,2690,R07290,lizard,1,2059252469
Cryptoblepharus novohebridicus,10616.64736,2691,R07291,lizard,1,10616641362
Cryptoblepharus ochrus,283570.7103,2692,R07292,lizard,1,2.83559E+11
Cryptoblepharus pannosus,2434918.156,2693,R07293,lizard,1,2.43494E+12
Cryptoblepharus plagiocephalus,610170.1329,2694,R07294,lizard,1,6.10171E+11
Cryptoblepharus poecilopleurus,63963.79889,2695,R07295,lizard,1,63963821072
Cryptoblepharus pulcher,867170.0065,2696,R07296,lizard,1,8.67164E+11
Cryptoblepharus quinquetaeniatus,426.261969,2697,R07297,lizard,1,426262000.5
Cryptoblepharus renschi,17779.50433,2698,R07298,lizard,1,17779487139
Cryptoblepharus richardsi,212.640129,2699,R07299,lizard,1,212640161.5
Cryptoblepharus ruber,499441.8699,2700,R07300,lizard,1,4.99472E+11
Cryptoblepharus rutilus,456.606774,2701,R07301,lizard,1,456606767.2
Cryptoblepharus schlegelianus,14787.77813,2702,R07302,lizard,1,14787765233
Cryptoblepharus tytthos,71383.65255,2703,R07303,lizard,1,71383266045
Cryptoblepharus ustulatus,93064.71194,2704,R07304,lizard,1,93065792703
Cryptoblepharus virgatus,947584.3014,2705,R07305,lizard,1,9.47578E+11
Cryptoblepharus voeltzkowi,14102.17494,2706,R07306,lizard,1,14112825295
Cryptoblepharus wulbu,4978.791543,2707,R07307,lizard,1,4978800693
Cryptoblepharus xenikos,49479.45311,2708,R07308,lizard,1,49478271273
Cryptoblepharus yulensis,2719.735508,2709,R07309,lizard,1,2719690863
Cryptoblepharus zoticus,64448.97192,2710,R07310,lizard,1,64451380859
Ctenoblepharys adspersa,10693.94197,2716,R06058,lizard,1,10693403256
Ctenophorus adelaidensis,399440.879,2717,R00154,lizard,1,3.99434E+11
Ctenophorus butlerorum,10367.96706,2718,R00155,lizard,1,10367775917
Ctenophorus caudicinctus,3059455.229,2719,R00156,lizard,1,3.05947E+12
Ctenophorus chapmani,232538.2449,2720,R00157,lizard,1,2.32514E+11
Ctenophorus clayi,1715765.749,2721,R00158,lizard,1,1.71575E+12
Ctenophorus cristatus,927237.5158,2722,R00159,lizard,1,9.27237E+11
Ctenophorus decresii,165496.9422,2723,R00160,lizard,1,1.65496E+11
Ctenophorus femoralis,86159.83483,2724,R00161,lizard,1,86160118639
Ctenophorus fionni,93640.58549,2725,R00162,lizard,1,93640238762
Ctenophorus fordi,1011597.341,2726,R00163,lizard,1,1.0116E+12
Ctenophorus gibba,52096.56451,2727,R00164,lizard,1,52095763238
Ctenophorus isolepis,3395116.938,2728,R00165,lizard,1,3.39513E+12
Ctenophorus maculatus,567393.5587,2729,R00166,lizard,1,5.6739E+11
Ctenophorus maculosus,104517.3968,2730,R00167,lizard,1,1.04515E+11
Ctenophorus mckenziei,35921.24471,2731,R00168,lizard,1,35920215184
Ctenophorus mirrityana,2819.186671,2732,R00169,lizard,1,2819185256
Ctenophorus nguyarna,3607.116423,2733,R00170,lizard,1,3606906163
Ctenophorus nuchalis,4760177.733,2734,R00171,lizard,1,4.7602E+12
Ctenophorus ornatus,283917.9668,2735,R00172,lizard,1,2.83916E+11
Ctenophorus parviceps,60687.84893,2736,R00173,lizard,1,60687894236
Ctenophorus pictus,2035305.087,2737,R00174,lizard,1,2.03529E+12
Ctenophorus reticulatus,1835319.388,2738,R00175,lizard,1,1.83532E+12
Ctenophorus rufescens,155670.8115,2739,R00176,lizard,1,1.55671E+11
Ctenophorus salinarum,577821.5501,2740,R00177,lizard,1,5.7782E+11
Ctenophorus scutulatus,844603.2005,2741,R00178,lizard,1,8.44599E+11
Ctenophorus tjantjalka,98670.18469,2742,R00179,lizard,1,98672452231
Ctenophorus vadnappa,30356.34579,2743,R00180,lizard,1,30356394184
Ctenophorus yinnietharra,13839.37308,2744,R00181,lizard,1,13839405681
Ctenosaura acanthura,57626.88028,2745,R05211,lizard,1,57621219468
Ctenosaura alfredschmidti,14197.26418,2746,R05212,lizard,1,14202979136
Ctenosaura bakeri,42.083674,2747,R05213,lizard,1,42083653.09
Ctenosaura clarki,8942.939029,2748,R05214,lizard,1,8942949724
Ctenosaura conspicuosa,37.643476,2749,R05215,lizard,1,37643408.54
Ctenosaura defensor,30303.85993,2750,R05216,lizard,1,30302646561
Ctenosaura flavidorsalis,9552.906807,2751,R05217,lizard,1,9552824801
Ctenosaura hemilopha,15847.80391,2752,R05218,lizard,1,15845082007
Ctenosaura macrolopha,39.985123,2753,R05219,lizard,1,39985122.69
Ctenosaura melanosterna,587.220112,2754,R05220,lizard,1,587221439.9
Ctenosaura nolascensis,1.240665,2755,R05221,lizard,1,1240613.203
Ctenosaura oaxacana,8176.727757,2756,R05222,lizard,1,8176785691
Ctenosaura oedirhina,160.302351,2757,R05223,lizard,1,160302471.9
Ctenosaura palearis,5173.152688,2758,R05224,lizard,1,5173144608
Ctenosaura pectinata,31983.94279,2759,R05225,lizard,1,31985558954
Ctenosaura quinquecarinata,18899.94757,2760,R05226,lizard,1,18900869976
Ctenosaura similis,831119.8212,2761,R05227,lizard,1,8.3112E+11
Ctenotus agrestis,4130.315484,2762,R07311,lizard,1,4130318644
Ctenotus alacer,613683.0341,2763,R07312,lizard,1,6.13685E+11
Ctenotus alleni,58878.34215,2764,R07313,lizard,1,58877858898
Ctenotus allotropis,319705.2304,2765,R07314,lizard,1,3.19705E+11
Ctenotus angusticeps,9622.782932,2766,R07315,lizard,1,9622968385
Ctenotus aphrodite,12156.41197,2767,R07316,lizard,1,12156378977
Ctenotus arcanus,37045.41109,2768,R07317,lizard,1,37045694946
Ctenotus ariadnae,939203.8475,2769,R07318,lizard,1,9.39203E+11
Ctenotus arnhemensis,13671.89618,2770,R07319,lizard,1,13671912575
Ctenotus astarte,127737.0211,2771,R07320,lizard,1,1.27736E+11
Ctenotus astictus,59736.98544,2772,R07321,lizard,1,59737633732
Ctenotus atlas,898990.6323,2773,R07322,lizard,1,8.98995E+11
Ctenotus australis,71142.72296,2774,R07323,lizard,1,71142131386
Ctenotus borealis,130437.1647,2775,R07324,lizard,1,1.30439E+11
Ctenotus brachyonyx,509723.4976,2776,R07325,lizard,1,5.09748E+11
Ctenotus brevipes,163828.3167,2777,R07326,lizard,1,1.63829E+11
Ctenotus brooksi,1847476.849,2778,R07327,lizard,1,1.84747E+12
Ctenotus burbidgei,84185.43082,2779,R07328,lizard,1,84185935039
Ctenotus calurus,1399960.082,2780,R07329,lizard,1,1.39996E+12
Ctenotus capricorni,19951.27408,2781,R07330,lizard,1,19951240162
Ctenotus catenifer,96731.34358,2782,R07331,lizard,1,96728887234
Ctenotus coggeri,7702.658945,2783,R07332,lizard,1,7702671158
Ctenotus colletti,838807.7041,2784,R07333,lizard,1,8.38804E+11
Ctenotus decaneurus,179143.511,2785,R07334,lizard,1,1.79144E+11
Ctenotus delli,3989.261441,2786,R07335,lizard,1,3989308393
Ctenotus dux,798322.0428,2787,R07336,lizard,1,7.98316E+11
Ctenotus ehmanni,17831.01379,2788,R07337,lizard,1,17830989565
Ctenotus essingtonii,415811.0506,2789,R07338,lizard,1,4.15812E+11
Ctenotus eurydice,43379.92715,2790,R07339,lizard,1,43380143491
Ctenotus eutaenius,24354.09377,2791,R07340,lizard,1,24354253038
Ctenotus fallens,130710.8477,2792,R07341,lizard,1,1.3071E+11
Ctenotus gagudju,17671.38169,2793,R07342,lizard,1,17671226791
Ctenotus gemmula,241201.9928,2794,R07343,lizard,1,2.412E+11
Ctenotus grandis,1820233.863,2795,R07344,lizard,1,1.82024E+12
Ctenotus greeri,677988.5875,2796,R07345,lizard,1,6.77985E+11
Ctenotus halysis,56685.84666,2797,R07346,lizard,1,56686884590
Ctenotus hanloni,1167455.607,2798,R07347,lizard,1,1.16744E+12
Ctenotus hebetior,366577.9764,2799,R07348,lizard,1,3.6658E+11
Ctenotus helenae,2426978.694,2800,R07349,lizard,1,2.427E+12
Ctenotus hilli,124052.9687,2801,R07350,lizard,1,1.24054E+11
Ctenotus iapetus,40566.35577,2802,R07351,lizard,1,40566595764
Ctenotus impar,403164.2937,2803,R07352,lizard,1,4.03166E+11
Ctenotus ingrami,541717.8424,2804,R07353,lizard,1,5.41721E+11
Ctenotus inornatus,1078848.808,2805,R07354,lizard,1,1.07886E+12
Ctenotus joanae,785396.1762,2806,R07355,lizard,1,7.854E+11
Ctenotus kurnbudj,10487.19109,2807,R07356,lizard,1,10487239388
Ctenotus labillardieri,118298.051,2808,R07357,lizard,1,1.18296E+11
Ctenotus lancelini,805.53032,2809,R07358,lizard,1,805472136.9
Ctenotus lateralis,362906.8856,2810,R07359,lizard,1,3.62908E+11
Ctenotus leae,1197359.015,2811,R07360,lizard,1,1.19736E+12
Ctenotus leonhardii,3879842.431,2812,R07361,lizard,1,3.87985E+12
Ctenotus maryani,49070.00627,2813,R07362,lizard,1,49070081571
Ctenotus mastigura,23594.88239,2814,R07363,lizard,1,23595067353
Ctenotus mesotes,6742.771419,2815,R07364,lizard,1,6742974005
Ctenotus militaris,214988.9023,2816,R07365,lizard,1,2.1499E+11
Ctenotus mimetes,521558.7921,2817,R07366,lizard,1,5.21559E+11
Ctenotus monticola,15251.11712,2818,R07367,lizard,1,15251137056
Ctenotus nasutus,376986.6157,2819,R07368,lizard,1,3.76986E+11
Ctenotus nigrilineatus,2864.766451,2820,R07369,lizard,1,2864774669
Ctenotus nullum,9074.286679,2821,R07370,lizard,1,9074245468
Ctenotus olympicus,394326.2219,2822,R07371,lizard,1,3.94332E+11
Ctenotus ora,6706.612434,2823,R07372,lizard,1,6706866894
Ctenotus orientalis,879541.152,2824,R07373,lizard,1,8.79472E+11
Ctenotus pallescens,134304.4871,2825,R07374,lizard,1,1.34304E+11
Ctenotus pantherinus,5029065.685,2826,R07375,lizard,1,5.02907E+12
Ctenotus piankai,2344366.418,2827,R07376,lizard,1,2.34437E+12
Ctenotus pulchellus,354057.9302,2828,R07377,lizard,1,3.54059E+11
Ctenotus quattuordecimlineatus,1205830.776,2829,R07378,lizard,1,1.20583E+12
Ctenotus quinkan,21344.87468,2830,R07379,lizard,1,21344911106
Ctenotus quirinus,190263.1378,2831,R07380,lizard,1,1.90264E+11
Ctenotus rawlinsoni,4048.426748,2832,R07381,lizard,1,4048425359
Ctenotus regius,1242444.253,2833,R07382,lizard,1,1.24244E+12
Ctenotus rimacolus,56551.09538,2834,R07383,lizard,1,56551177011
Ctenotus robustus,2926331.454,2835,R07384,lizard,1,2.92634E+12
Ctenotus rosarium,22212.63394,2836,R07385,lizard,1,22212390016
Ctenotus rubicundus,81260.19608,2837,R07386,lizard,1,81260285400
Ctenotus rufescens,6308.25077,2838,R07387,lizard,1,6308318001
Ctenotus rutilans,65154.30051,2839,R07388,lizard,1,65154396669
Ctenotus saxatilis,2726574.932,2840,R07389,lizard,1,2.72658E+12
Ctenotus schevilli,117926.457,2841,R07390,lizard,1,1.17927E+11
Ctenotus schomburgkii,3450360.8,2842,R07391,lizard,1,3.45035E+12
Ctenotus septenarius,106057.3681,2843,R07392,lizard,1,1.06057E+11
Ctenotus serotinus,19819.3715,2844,R07393,lizard,1,19818499194
Ctenotus serventyi,236449.5197,2845,R07394,lizard,1,2.36454E+11
Ctenotus severus,495712.6655,2846,R07395,lizard,1,4.95712E+11
Ctenotus spaldingi,1023791.098,2847,R07396,lizard,1,1.02379E+12
Ctenotus storri,24563.73592,2848,R07397,lizard,1,24563959106
Ctenotus strauchii,1917102.982,2849,R07398,lizard,1,1.91711E+12
Ctenotus striaticeps,39495.86495,2850,R07399,lizard,1,39495990387
Ctenotus stuarti,6865.846219,2851,R07400,lizard,1,6865951691
Ctenotus taeniolatus,838424.2177,2852,R07401,lizard,1,8.38427E+11
Ctenotus tanamiensis,449282.214,2853,R07402,lizard,1,4.49283E+11
Ctenotus tantillus,71881.436,2854,R07403,lizard,1,71882190333
Ctenotus terrareginae,10988.84925,2855,R07404,lizard,1,10988862740
Ctenotus uber,2465051.438,2856,R07405,lizard,1,2.46504E+12
Ctenotus vagus,31.877108,2857,R07406,lizard,1,31877107.51
Ctenotus vertebralis,29409.27057,2858,R07407,lizard,1,29409350177
Ctenotus xenopleura,35022.31544,2859,R07408,lizard,1,35022150932
Ctenotus youngsoni,10769.75351,2860,R07409,lizard,1,10769803833
Ctenotus zastictus,12116.85092,2861,R07410,lizard,1,12117124814
Ctenotus zebrilla,49293.52718,2862,R07411,lizard,1,49293456761
Cyclodomorphus branchialis,56705.92558,2894,R07412,lizard,1,56705557607
Cyclodomorphus casuarinae,66686.23499,2895,R07413,lizard,1,66686591507
Cyclodomorphus celatus,99784.66529,2896,R07414,lizard,1,99784052261
Cyclodomorphus maxima,36952.90499,2897,R07415,lizard,1,36953398287
Cyclodomorphus melanops,3016993.083,2898,R07416,lizard,1,3.01699E+12
Cyclodomorphus michaeli,24262.13016,2899,R07417,lizard,1,24261433593
Cyclodomorphus praealtus,15721.61148,2900,R07418,lizard,1,15721321446
Cyclodomorphus venustus,268788.0313,2901,R07419,lizard,1,2.68788E+11
Cyclura carinata,442.820776,2909,R05228,lizard,1,442821092.5
Cyclura collei,818.88238,2910,R05229,lizard,1,818882003.2
Cyclura cornuta,33737.22874,2911,R05230,lizard,1,33737228582
Cyclura cychlura,503.239212,2912,R05231,lizard,1,503240091.9
Cyclura lewisi,210.620022,2913,R05232,lizard,1,210620267.1
Cyclura nubila,93426.82862,2914,R05233,lizard,1,93426824976
Cyclura pinguis,11.616954,2915,R05234,lizard,1,11616954.65
Cyclura ricordi,1498.377355,2916,R05235,lizard,1,1498348856
Cyclura rileyi,174.907055,2917,R05236,lizard,1,174906976
Cyrtodactylus aaroni,12793.5843,2947,R03957,lizard,1,12793588321
Cyrtodactylus adleri,999.44242,2948,R03958,lizard,1,999442488.3
Cyrtodactylus adorus,6825.905881,2949,R03959,lizard,1,6825901212
Cyrtodactylus aequalis,435.113008,2950,R03960,lizard,1,435113001.5
Cyrtodactylus agusanensis,114914.395,2951,R03961,lizard,1,1.14914E+11
Cyrtodactylus albofasciatus,99032.38526,2952,R03962,lizard,1,99043056383
Cyrtodactylus angularis,1562.755871,2953,R03963,lizard,1,1562727656
Cyrtodactylus annandalei,15742.9754,2954,R03964,lizard,1,15741363150
Cyrtodactylus annulatus,139190.2456,2955,R03965,lizard,1,1.3919E+11
Cyrtodactylus arcanus,19.992561,2956,R03966,lizard,1,19992561.35
Cyrtodactylus astrum,1900.118389,2957,R03967,lizard,1,1900202895
Cyrtodactylus aurensis,4.748327,2958,R03968,lizard,1,4748326.629
Cyrtodactylus auribalteatus,19.992561,2959,R03969,lizard,1,19992561.35
Cyrtodactylus australotitiwangsaensis,19.992561,2960,R03970,lizard,1,19992561.35
Cyrtodactylus ayeyarwadyensis,33449.72421,2961,R03971,lizard,1,33449995219
Cyrtodactylus badenensis,9.996281,2962,R03972,lizard,1,9996280.674
Cyrtodactylus baluensis,56929.78074,2963,R03973,lizard,1,56929781483
Cyrtodactylus batik,0.019194,2964,R03974,lizard,1,19194.393
Cyrtodactylus batucolus,11.321701,2965,R03975,lizard,1,11321698.57
Cyrtodactylus bichnganae,9.996281,2966,R03976,lizard,1,9996280.673
Cyrtodactylus bidoupimontis,4970.316826,2967,R03977,lizard,1,4970230868
Cyrtodactylus bintangrendah,1182.281713,2968,R03978,lizard,1,1182218827
Cyrtodactylus bintangtinggi,1067.286723,2969,R03979,lizard,1,1067286056
Cyrtodactylus biordinis,5374.120213,2970,R03980,lizard,1,5374120028
Cyrtodactylus bobrovi,525.093718,2971,R03981,lizard,1,525097436
Cyrtodactylus boreoclivus,1183.521516,2972,R03982,lizard,1,1183499210
Cyrtodactylus brevidactylus,2752.851531,2973,R03983,lizard,1,2753548505
Cyrtodactylus brevipalmatus,49830.33832,2974,R03984,lizard,1,49871126854
Cyrtodactylus buchardi,9.996281,2975,R03985,lizard,1,9996280.673
Cyrtodactylus bugiamapensis,19.992561,2976,R03986,lizard,1,19992561.35
Cyrtodactylus caovansungi,9.996281,2977,R03987,lizard,1,9996280.672
Cyrtodactylus capreoloides,10453.60778,2978,R03988,lizard,1,10453566380
Cyrtodactylus cattienensis,9.996281,2979,R03989,lizard,1,9996280.673
Cyrtodactylus cavernicolus,996.731191,2980,R03990,lizard,1,996731956.1
Cyrtodactylus celatus,9.996281,2981,R03991,lizard,1,9996280.673
Cyrtodactylus chanhomeae,1714.984612,2982,R03992,lizard,1,1714833040
Cyrtodactylus chauquangensis,9.996281,2983,R03993,lizard,1,9996280.675
Cyrtodactylus chrysopylos,96.799371,2984,R03994,lizard,1,96799421.14
Cyrtodactylus collegalensis,903070.0365,2985,R03995,lizard,1,9.03084E+11
Cyrtodactylus condorensis,51.29637,2986,R03996,lizard,1,51296193.05
Cyrtodactylus consobrinoides,71441.15733,2987,R03997,lizard,1,71439804129
Cyrtodactylus consobrinus,274334.1588,2988,R03998,lizard,1,2.74334E+11
Cyrtodactylus cracens,9.996281,2989,R03999,lizard,1,9996280.673
Cyrtodactylus cryptus,9.996281,2990,R04000,lizard,1,9996280.673
Cyrtodactylus cucdongensis,9.996281,2991,R04001,lizard,1,9996280.674
Cyrtodactylus cucphuongensis,19.992561,2992,R04002,lizard,1,19992561.35
Cyrtodactylus darevskii,9.996281,2993,R04003,lizard,1,9996280.673
Cyrtodactylus darmandvillei,15248.07691,2994,R04004,lizard,1,15248095266
Cyrtodactylus dati,19.992561,2995,R04005,lizard,1,19992561.35
Cyrtodactylus deccanensis,140891.2388,2996,R04006,lizard,1,1.40895E+11
Cyrtodactylus derongo,9.996281,2997,R04007,lizard,1,9996280.673
Cyrtodactylus deveti,2283.895407,2998,R04008,lizard,1,2283895411
Cyrtodactylus doisuthep,9.996281,2999,R04009,lizard,1,9996280.673
Cyrtodactylus dumnuii,33202.27491,3000,R04010,lizard,1,33202295275
Cyrtodactylus durio,1.325421,3001,R04011,lizard,1,1325417.9
Cyrtodactylus edwardtaylori,9.996281,3002,R04012,lizard,1,9996280.673
Cyrtodactylus eisenmanae,11.477672,3003,R04013,lizard,1,11477659.11
Cyrtodactylus elok,7650.857019,3004,R04014,lizard,1,7650857389
Cyrtodactylus epiroticus,28535.61854,3005,R04015,lizard,1,28535906047
Cyrtodactylus erythrops,9.996281,3006,R04016,lizard,1,9996280.673
Cyrtodactylus fasciolatum,110853.5958,3007,R04017,lizard,1,1.10852E+11
Cyrtodactylus feae,133722.2298,3008,R04018,lizard,1,1.33731E+11
Cyrtodactylus fraenatus,2281.801454,3009,R04019,lizard,1,2281830713
Cyrtodactylus fumosus,4323.786385,3010,R04020,lizard,1,4323778565
Cyrtodactylus gansi,710.094329,3011,R04021,lizard,1,710089296.2
Cyrtodactylus gordongekkoi,4610.410189,3012,R04022,lizard,1,4610410482
Cyrtodactylus grismeri,19.992561,3013,R04023,lizard,1,19992561.35
Cyrtodactylus guakanthanensis,9.996281,3014,R04024,lizard,1,9996280.673
Cyrtodactylus gubaot,7051.647011,3015,R04025,lizard,1,7051646825
Cyrtodactylus gubernatoris,13996.42057,3016,R04026,lizard,1,13996420441
Cyrtodactylus halmahericus,18107.54465,3017,R04027,lizard,1,18107544799
Cyrtodactylus hikidai,9.996281,3018,R04028,lizard,1,9996280.673
Cyrtodactylus hontreensis,3.071847,3019,R04029,lizard,1,3071856.07
Cyrtodactylus hoskini,2130.313539,3020,R04030,lizard,1,2130310435
Cyrtodactylus huongsonensis,9.996281,3021,R04031,lizard,1,9996280.673
Cyrtodactylus huynhi,9.996281,3022,R04032,lizard,1,9996280.672
Cyrtodactylus ingeri,32312.24504,3023,R04033,lizard,1,32312245325
Cyrtodactylus interdigitalis,7580.352911,3024,R04034,lizard,1,7580197308
Cyrtodactylus intermedius,38863.0592,3025,R04035,lizard,1,38862966927
Cyrtodactylus inthanon,9.996281,3026,R04036,lizard,1,9996280.673
Cyrtodactylus irianjayaensis,1632.377358,3027,R04037,lizard,1,1632377395
Cyrtodactylus irregularis,7633.146442,3028,R04038,lizard,1,7633194778
Cyrtodactylus jaegeri,19.992561,3029,R04039,lizard,1,19992561.35
Cyrtodactylus jambangan,1464.155943,3030,R04040,lizard,1,1464166140
Cyrtodactylus jarakensis,9.996281,3031,R04041,lizard,1,9996280.673
Cyrtodactylus jarujini,7556.32852,3032,R04042,lizard,1,7556854156
Cyrtodactylus jelawangensis,9.996281,3033,R04043,lizard,1,9996280.673
Cyrtodactylus jellesmae,112379.4568,3034,R04044,lizard,1,1.12379E+11
Cyrtodactylus jeyporensis,22899.89156,3035,R04045,lizard,1,22899665421
