Binomial,Area,FID_2,TID,Group,Value,area
Acontias aurantiacus,46189.19378,119,R07002,lizard,1,46188671497
Acontias bicolor,129800.3309,120,R07003,lizard,1,1.29802E+11
Acontias breviceps,41481.14325,121,R07004,lizard,1,41480767174
Acontias cregoi,43157.17821,122,R07005,lizard,1,43157031673
Acontias gariepensis,51533.1988,123,R07006,lizard,1,51532084977
Acontias gracilicauda,329198.8716,124,R07007,lizard,1,3.29192E+11
Acontias jappi,26568.24981,125,R07008,lizard,1,26567638812
Acontias kgalagadi,663345.2591,126,R07009,lizard,1,6.63352E+11
Acontias lineatus,333597.2482,127,R07010,lizard,1,3.33585E+11
Acontias litoralis,27703.49412,128,R07011,lizard,1,27703129632
Acontias meleagris,145933.9206,129,R07012,lizard,1,1.45932E+11
Acontias namaquensis,5436.28279,130,R07013,lizard,1,5436355171
Acontias occidentalis,482198.6071,131,R07014,lizard,1,4.82201E+11
Acontias orientalis,34639.7738,132,R07015,lizard,1,34638867326
Acontias percivali,901709.3906,133,R07016,lizard,1,9.01696E+11
Acontias plumbeus,324207.9725,134,R07017,lizard,1,3.24181E+11
Acontias poecilus,7946.094323,135,R07018,lizard,1,7946077079
Acontias richardi,8050.254617,136,R07019,lizard,1,8050212731
Acontias rieppeli,39068.8058,137,R07020,lizard,1,39068748108
Acontias schmitzi,9.996281,138,R07021,lizard,1,9996280.673
Acontias tristis,31412.47257,139,R07022,lizard,1,31412153470
Acratosaura mentalis,530277.0187,142,R04883,lizard,1,5.30277E+11
Acratosaura spinosa,125654.2162,143,R04884,lizard,1,1.25654E+11
Adercosaurus vixadnexus,9.996281,161,R04885,lizard,1,9996280.673
Adolfus africanus,931945.3077,162,R05287,lizard,1,9.3195E+11
Adolfus alleni,18282.44474,163,R05288,lizard,1,18282706723
Adolfus jacksoni,383062.5602,164,R05289,lizard,1,3.83063E+11
Adolfus masavaensis,1062.623221,165,R05290,lizard,1,1062623220
Aeluroscalabotes felinus,304433.4348,167,R03732,lizard,1,3.04434E+11
Afroablepharus africanus,1005.246011,168,R07023,lizard,1,1005246016
Afroablepharus annobonensis,14.697131,169,R07024,lizard,1,14697131.75
Afroablepharus duruarum,12181.99914,170,R07025,lizard,1,12180454615
Afroablepharus maculicollis,853431.9433,171,R07026,lizard,1,8.53416E+11
Afroablepharus seydeli,7606.343955,172,R07027,lizard,1,7606368970
Afroablepharus wahlbergi,3375958.617,173,R07028,lizard,1,3.37596E+12
Afroablepharus wilsoni,49992.35808,174,R07029,lizard,1,49991650178
Afroedura africana,51503.3948,175,R03768,lizard,1,51503239205
Afroedura amatolica,16739.73089,176,R03769,lizard,1,16739685881
Afroedura bogerti,65894.17778,177,R03770,lizard,1,65894187493
Afroedura broadleyi,1917.917704,178,R03771,lizard,1,1920629048
Afroedura granitica,16.238188,179,R03772,lizard,1,16238187.98
Afroedura haackei,4786.212405,180,R03773,lizard,1,4786227542
Afroedura halli,31225.08038,181,R03774,lizard,1,31224918134
Afroedura hawequensis,12444.35824,182,R03775,lizard,1,12444668829
Afroedura karroica,33696.44369,183,R03776,lizard,1,33696561211
Afroedura langi,8380.964714,184,R03777,lizard,1,8381079979
Afroedura leoloensis,9.996281,185,R03778,lizard,1,9996280.673
Afroedura loveridgei,34745.11521,186,R03779,lizard,1,34744115025
Afroedura major,5165.403989,187,R03780,lizard,1,5165430702
Afroedura maripi,2781.015512,188,R03781,lizard,1,2780512432
Afroedura marleyi,26504.39766,189,R03782,lizard,1,26502738057
Afroedura multiporis,11039.98902,190,R03783,lizard,1,11040143284
Afroedura namaquensis,9021.292535,191,R03784,lizard,1,9021333597
Afroedura nivaria,542632.2065,192,R03785,lizard,1,5.42616E+11
Afroedura pienaari,2453.05704,193,R03786,lizard,1,2449767943
Afroedura pondolia,40323.76022,194,R03787,lizard,1,40322420286
Afroedura pongola,9.996281,195,R03788,lizard,1,9996280.673
Afroedura rondavelica,700.978966,196,R03789,lizard,1,700979497.2
Afroedura rupestris,9.996281,197,R03790,lizard,1,9996280.673
Afroedura tembulica,9355.041949,198,R03791,lizard,1,9354939847
Afroedura tirasensis,9859.269928,199,R03792,lizard,1,9859302714
Afroedura transvaalica,360008.6217,200,R03793,lizard,1,3.59997E+11
Afroedura waterbergensis,9.996281,201,R03794,lizard,1,9996280.673
Afrogecko ansorgii,2216.20323,202,R03795,lizard,1,2216237588
Afrogecko porphyreus,79793.88082,203,R03796,lizard,1,79791928319
Agama aculeata,3142594.508,230,R00048,lizard,1,3.14259E+12
Agama africana,541718.1927,231,R00049,lizard,1,5.41724E+11
Agama agama,9847595.751,232,R00050,lizard,1,9.84776E+12
Agama anchietae,643487.4916,233,R00051,lizard,1,6.43482E+11
Agama armata,2001854.911,234,R00052,lizard,1,2.00185E+12
Agama atra,981427.3931,235,R00053,lizard,1,9.81415E+11
Agama bocourti,12373.16084,236,R00054,lizard,1,12373077205
Agama boensis,112887.3864,237,R00055,lizard,1,1.12893E+11
Agama bottegi,19.992561,238,R00056,lizard,1,19992561.35
Agama boueti,2343867.982,239,R00057,lizard,1,2.34385E+12
Agama boulengeri,348307.9809,240,R00058,lizard,1,3.4831E+11
Agama caudospinosa,38799.58612,241,R00059,lizard,1,38799616490
Agama congica,198479.3533,242,R00060,lizard,1,1.98479E+11
Agama cristata,49565.63381,243,R00061,lizard,1,49565838329
Agama doriae,2608695.913,244,R00062,lizard,1,2.60873E+12
Agama etoshae,69404.81608,245,R00063,lizard,1,69405213355
Agama finchi,21801.15615,246,R00064,lizard,1,21801156696
Agama gracilimembris,1685595.533,247,R00065,lizard,1,1.68563E+12
Agama hartmanni,480590.7574,248,R00066,lizard,1,4.80587E+11
Agama hispida,176470.1389,249,R00067,lizard,1,1.76465E+11
Agama hulbertorum,2715.231361,250,R00068,lizard,1,2715231375
Agama impalearis,968863.354,251,R00069,lizard,1,9.68854E+11
Agama insularis,55252.22019,252,R00070,lizard,1,55257846539
Agama kaimosae,31393.66492,253,R00071,lizard,1,31394458084
Agama kirkii,1011749.106,254,R00072,lizard,1,1.0112E+12
Agama knobeli,76066.92614,255,R00073,lizard,1,76059197975
Agama lanzai,9.996281,256,R00074,lizard,1,9996280.673
Agama lebretoni,231205.6134,257,R00075,lizard,1,2.31221E+11
Agama lionotus,742107.4829,258,R00076,lizard,1,7.42112E+11
Agama lucyae,19.992561,259,R00077,lizard,1,19992561.35
Agama makarikarika,49200.13286,260,R00078,lizard,1,49199790915
Agama montana,22699.51484,261,R00080,lizard,1,22699646720
Agama mossambica,748583.7858,262,R00081,lizard,1,7.48582E+11
Agama mucosoensis,39197.62474,263,R00082,lizard,1,39197780167
Agama mwanzae,199488.834,264,R00083,lizard,1,1.99492E+11
Agama parafricana,68898.65078,265,R00084,lizard,1,68898970725
Agama paragama,1794487.404,266,R00085,lizard,1,1.79453E+12
Agama persimilis,77167.63897,267,R00086,lizard,1,77168824077
Agama planiceps,563848.9241,268,R00087,lizard,1,5.63848E+11
Agama robecchii,298656.4807,269,R00088,lizard,1,2.9866E+11
Agama rueppelli,654486.2765,270,R00089,lizard,1,6.54491E+11
Agama sankaranica,1644149.105,271,R00090,lizard,1,1.64418E+12
Agama somalica,29.988842,272,R00091,lizard,1,29988842.02
Agama spinosa,1314005.371,273,R00092,lizard,1,1.31396E+12
Agama sylvana,871579.6349,274,R00093,lizard,1,8.71618E+11
Agama tassiliensis,1310061.515,275,R00094,lizard,1,1.31005E+12
Agama turuensis,5728.333798,276,R00095,lizard,1,5728599902
Agama weidholzi,532329.0497,277,R00096,lizard,1,5.32334E+11
Ailuronyx seychellensis,232.573453,296,R03798,lizard,1,232573455.5
Ailuronyx tachyscopaeus,228.293369,297,R03799,lizard,1,228293371.4
Ailuronyx trachygaster,66.915223,298,R03800,lizard,1,66915226.98
Alexandresaurus camacan,66269.25631,300,R04886,lizard,1,66269259451
Algyroides fitzingeri,33020.90118,301,R05291,lizard,1,33020896918
Algyroides marchi,3536.878961,302,R05292,lizard,1,3536881724
Algyroides moreoticus,22702.09398,303,R05293,lizard,1,22702094923
Algyroides nigropunctatus,75640.05358,304,R05294,lizard,1,75647509347
Alinea berengerae,27.957532,305,R07030,lizard,1,27957554.79
Alinea lanceolata,19.992561,306,R07031,lizard,1,19992561.35
Alinea luciae,617.396506,307,R07032,lizard,1,617396713.5
Alinea pergravis,23.527584,308,R07033,lizard,1,23527573.14
Alopoglossus angulatus,6440232.029,313,R04887,lizard,1,6.44031E+12
Alopoglossus atriventris,1001756.473,314,R04888,lizard,1,1.00176E+12
Alopoglossus buckleyi,535115.7219,315,R04889,lizard,1,5.35131E+11
Alopoglossus copii,42931.79718,316,R04890,lizard,1,42932493242
Alopoglossus festae,94193.69046,317,R04891,lizard,1,94194994212
Alopoglossus lehmanni,3598.105596,318,R04892,lizard,1,3598105788
Alopoglossus viridiceps,416.428661,319,R04893,lizard,1,416428661.6
Alsophylax przewalskii,863889.3438,332,R03804,lizard,1,8.63749E+11
Alsophylax tadjikiensis,45113.08644,334,R03806,lizard,1,45110761926
Altiphylax baturensis,4975.912262,335,R03807,lizard,1,4975369969
Altiphylax levitoni,25181.78311,336,R03808,lizard,1,25181127740
Altiphylax mintoni,2539.302922,337,R03809,lizard,1,2539264920
Altiphylax stoliczkai,137019.6453,338,R03810,lizard,1,1.3705E+11
Altiphylax tokobajevi,28192.55328,339,R03811,lizard,1,28194942868
Altiphylax yarkandensis,19.992561,340,R03812,lizard,1,19992561.35
Amalosia jacovae,81185.97766,341,R02437,lizard,1,81186780253
Amalosia lesueurii,289199.0716,342,R02438,lizard,1,2.89197E+11
Amalosia obscura,15804.98348,343,R02439,lizard,1,15805068848
Amalosia rhombifer,1549694.24,344,R02440,lizard,1,1.5497E+12
Amapasaurus tetradactylus,121364.0908,345,R04894,lizard,1,1.21364E+11
Amblyrhynchus cristatus,7990.358188,357,R05204,lizard,1,7990358146
Ameiva aggerecusans,2526.411194,358,R08804,lizard,1,2526586862
Ameiva ameiva,12354817.03,359,R08805,lizard,1,1.23549E+13
Ameiva atrata,0.829518,360,R08806,lizard,1,829518.726
Ameiva atrigularis,15514.60452,361,R08807,lizard,1,15514527564
Ameiva auberi,115047.8076,362,R08808,lizard,1,1.15048E+11
Ameiva bifrontata,1638710.37,363,R08809,lizard,1,1.63871E+12
Ameiva chrysolaema,55313.77486,364,R08810,lizard,1,55313773520
Ameiva concolor,24972.70303,366,R08812,lizard,1,24972044853
Ameiva corax,3.415104,367,R08813,lizard,1,3415095.636
Ameiva corvina,0.974077,368,R08814,lizard,1,974062.614
Ameiva dorsalis,9720.340765,369,R08815,lizard,1,9720339244
Ameiva erythrocephala,298.223895,370,R08816,lizard,1,298223667.1
Ameiva exsul,9432.16031,371,R08817,lizard,1,9432161986
Ameiva fuliginosa,11.848587,372,R08818,lizard,1,11848590.21
Ameiva fuscata,766.68974,373,R08819,lizard,1,766689606.6
Ameiva griswoldi,366.97803,374,R08820,lizard,1,366978214.1
Ameiva jacuba,19.992561,375,R08821,lizard,1,19992561.35
Ameiva lineolata,37967.11203,376,R08822,lizard,1,37967124567
Ameiva maynardi,1703.224533,378,R08824,lizard,1,1703223344
Ameiva nodam,48736.15524,379,R08825,lizard,1,48736617234
Ameiva pantherina,1175.20606,380,R08826,lizard,1,1175358353
Ameiva parecis,116292.9058,381,R08827,lizard,1,1.16293E+11
Ameiva plei,229.346322,382,R08828,lizard,1,229346205.4
Ameiva pluvianotata,103.336453,383,R08829,lizard,1,103336512.4
Ameiva polops,133.113603,384,R08830,lizard,1,133113587.9
Ameiva praesignis,259725.8801,385,R08831,lizard,1,2.59726E+11
Ameiva provitaae,9.996281,386,R08832,lizard,1,9996280.672
Ameiva reticulata,1020.489422,387,R08833,lizard,1,1020489416
Ameiva taeniura,67214.70073,388,R08834,lizard,1,67214699365
Ameiva wetmorei,1126.366664,389,R08835,lizard,1,1126366504
Ameivula abaetensis,104574.6471,390,R08836,lizard,1,1.04575E+11
Ameivula abalosi,115294.7425,391,R08837,lizard,1,1.15295E+11
Ameivula cipoensis,679.060003,392,R08838,lizard,1,679065996.1
Ameivula confusioniba,1830.338837,393,R08839,lizard,1,1830421314
Ameivula cyanura,19.992561,394,R08840,lizard,1,19992561.35
Ameivula jalapensis,125663.9348,395,R08841,lizard,1,1.25664E+11
Ameivula littoralis,74091.3024,396,R08842,lizard,1,74091396962
Ameivula mumbuca,187081.4982,397,R08843,lizard,1,1.87081E+11
Ameivula nativo,28399.51887,398,R08844,lizard,1,28399508091
Ameivula nigrigula,9.996281,399,R08845,lizard,1,9996280.675
Ameivula ocellifera,6685553.058,400,R08846,lizard,1,6.68555E+12
Ameivula pyrrhogularis,31023.14792,401,R08847,lizard,1,31023147572
Ameivula venetacauda,9.996281,402,R08848,lizard,1,9996280.672
Ameivula xacriaba,9.996281,403,R08849,lizard,1,9996280.673
Amphibolurus muricatus,592316.1095,420,R00097,lizard,1,5.92317E+11
Amphibolurus norrisi,410113.0759,421,R00098,lizard,1,4.10041E+11
Amphiglossus alluaudi,3563.898738,424,R07034,lizard,1,3563901156
Amphiglossus andranovahensis,19492.91785,425,R07035,lizard,1,19492612920
Amphiglossus anosyensis,18811.82772,426,R07036,lizard,1,18812922411
Amphiglossus ardouini,7587.576067,427,R07037,lizard,1,7587614053
Amphiglossus astrolabi,131527.4777,428,R07038,lizard,1,1.31527E+11
Amphiglossus crenni,7746.014185,429,R07039,lizard,1,7746031569
Amphiglossus decaryi,1380.237373,430,R07040,lizard,1,1380201273
Amphiglossus elongatus,9171.246018,431,R07041,lizard,1,9171269319
Amphiglossus frontoparietalis,65504.18475,432,R07042,lizard,1,65504207725
Amphiglossus gastrostictus,20312.58521,433,R07043,lizard,1,20314301514
Amphiglossus johannae,2039.828041,434,R07044,lizard,1,2039829227
Amphiglossus macrocercus,44430.74074,435,R07045,lizard,1,44430803866
Amphiglossus mandady,863.377928,436,R07046,lizard,1,863377816.9
Amphiglossus mandokava,14119.44663,437,R07047,lizard,1,14119630286
Amphiglossus melanurus,35587.07117,438,R07048,lizard,1,35587150222
Amphiglossus meva,23789.68432,439,R07049,lizard,1,23788013504
Amphiglossus ornaticeps,212014.6798,440,R07050,lizard,1,2.12015E+11
Amphiglossus punctatus,61978.86227,441,R07051,lizard,1,61978918562
Amphiglossus reticulatus,78792.35851,442,R07052,lizard,1,78794785442
Amphiglossus spilostichus,583.200977,443,R07053,lizard,1,583200973.2
Amphiglossus splendidus,20919.67885,444,R07054,lizard,1,20919799392
