Class,Order,Family,Species,Common Name,C value,Ch. Num,Method,Cell Type,Std Sp.,Refs
Reptilia,Squamata,Viperidae,Vipera eriwanensis,Steppe adder,1.79,,FCM,RBC,BF,288
Reptilia,Testudines,Cheloniidae,Chelonia mydas,Green turtle,2.64,56,FD,RBC,GD,"323,Ê324"
Reptilia,Testudines,Chelydridae,Chelydra serpentina,Common snapping turtle,2.49,,FD,RBC,GD,324
Reptilia,Testudines,Chelydridae,Chelydra serpentina,Common snapping turtle,2.51,,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Chelydridae,Chelydra serpentina,Common snapping turtle,2.7,,SCF,RBC,HS,106
Reptilia,Testudines,Chelydridae,Chelydra serpentina,Common snapping turtle,2.81,52,FD,RBC,PS,368
Reptilia,Testudines,Chelydridae,Platysternon megacephalum,Big-headed turtle,2.7,54,FD,RBC,PS,368
Reptilia,Testudines,Emydidae,Chinemys reevesii,Reeve's turtle,2.42,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Chrysemys picta,Painted turtle,2.57,50,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Emydidae,Chrysemys picta,Painted turtle,2.61,,FIA,RBC,GD,575
Reptilia,Testudines,Emydidae,Chrysemys picta,Painted turtle,3.22,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Chrysemys picta dorsalis,Southern painted turtle,2.98,50,FD,RBC,PS,368
Reptilia,Testudines,Emydidae,Clemmys caspica,Caspian turtle,1.82,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Clemmys guttata,Spotted turtle,2.57,,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Emydidae,Clemmys sp.,Pond turtle,2.46,,FD,RBC,GD,324
Reptilia,Testudines,Emydidae,Cuora amboinensis,Malayan box turtle,2.14,50,FD,RBC,PS,370
Reptilia,Testudines,Emydidae,Cuora amboinensis,Malayan box turtle,2.42,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Cyclemys dentata,Asian leaf turtle,3.05,50,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Emydoidea blandingii,Blanding's turtle,2.65,,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Emydidae,Emys orbicularis,European pond turtle,2.6,50,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Emydidae,Graptemys pseudogeographica,False map turtle,2.17,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Heosemys grandis,Giant Asian pond turtle,3.12,,FD,RBC,PS,368
Reptilia,Testudines,Emydidae,Heosemys grandis,Giant Asian pond turtle,3.29,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Heosemys spinosa,Spiny turtle,4.1,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Kachuga trivittata,Burmese roofed turtle,2.42,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Melanochelys trijuga,Indian pond terrapin,2.84,52,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Notochelys platynota,Flat-shelled terrapin,2,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Pseudemys concinna,Eastern river cooter,2.42,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Pseudemys concinna,Eastern river cooter,4.17,50,FD,RBC,PS,368
Reptilia,Testudines,Emydidae,Siebenrockiella crassicollis,Borneo black leaf turtle,2.35,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Terrapene carolina,Eastern box turtle,2.59,,FCM,RBC,"HS,ÊRT",542
Reptilia,Testudines,Emydidae,Terrapene carolina,Eastern box turtle,2.75,,FCM,RBC,"GD,ÊHS,ÊV",504
Reptilia,Testudines,Emydidae,Terrapene carolina,Eastern box turtle,4.18,50,FD,RBC,PS,368
Reptilia,Testudines,Emydidae,Terrapene ornata,Ornate box turtle,2.17,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Trachemys dorbigni,Orbigny's slider,3.26,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Trachemys scripta,Red-eared slider,1.93,,SCF,RBC,HS,106
Reptilia,Testudines,Emydidae,Trachemys scripta,Red-eared slider,2.59,,FCM,RBC,GD,285
Reptilia,Testudines,Emydidae,Trachemys scripta,Red-eared slider,2.65,,FCM,RBC,"GD,ÊHS,ÊV",504
Reptilia,Testudines,Emydidae,Trachemys scripta elegans,Red-eared slider,1.43,,FK,IC,HS,805
Reptilia,Testudines,Emydidae,Trachemys terrapen,Jamaican slider,3.75,,SCF,RBC,HS,106
Reptilia,Testudines,Kinosternidae,Kinosternon subrubrum,Eastern mud turtle,2.66,,SCF,RBC,HS,106
Reptilia,Testudines,Kinosternidae,Kinosternon subrubrum,Eastern mud turtle,2.8,56,FD,RBC,PS,368
Reptilia,Testudines,Kinosternidae,Sternotherus odoratus,Common musk turtle,2.65,56,FD,RBC,PS,368
Reptilia,Testudines,Pelomedusidae,Pelomedusa subrufa,Cape terrapin,1.79,,SCF,RBC,HS,106
Reptilia,Testudines,Pelomedusidae,Pelomedusa subrufa,Cape terrapin,2.3,36,FD,RBC,PS,368
Reptilia,Testudines,Pelomedusidae,Pelusios niger,Black side-necked turtle,2.17,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Geochelone carbonaria,Red-footed tortoise,3.88,52,FD,RBC,PS,368
Reptilia,Testudines,Testudinidae,Geochelone elegans,Indian star tortoise,3.85,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Geochelone nigra,Galapagos tortoise,3.03,,FCM,RBC,GD,282
Reptilia,Testudines,Testudinidae,Geochelone nigra,Galapagos tortoise,3.9,,FD,RBC,V,75
Reptilia,Testudines,Testudinidae,Geochelone nigro nigrita,Galapagos tortoise,3.08,,FCM,RBC,"HS,ÊOM",598
Reptilia,Testudines,Testudinidae,Geochelone pardalis,Leopard tortoise,2.52,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Gopherus agassizii,Desert tortoise,2.92,52,FD,RBC,HS,14
Reptilia,Testudines,Testudinidae,Indotestudo elongata,Elongated tortoise,3.57,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Kinixys belliana,Bell's hingeback tortoise,2.35,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Kinixys belliana,Bell's hingeback tortoise,3.56,,FD,RBC,PS,368
Reptilia,Testudines,Testudinidae,Malacochersus tornieri,Pancake tortoise,1.89,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Psammobates oculiferus,Kalahari star tortoise,2.14,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Testudo graeca,Greek tortoise,5.44,52,FD,RBC,PS,368
Reptilia,Testudines,Testudinidae,Testudo hermanni,Hermann's tortoise,2.52,,SCF,RBC,HS,106
Reptilia,Testudines,Testudinidae,Testudo hermanni,Hermann's tortoise,3.5,,FD,RBC,NS,334
Reptilia,Testudines,Testudinidae,Testudo hermanni,Hermann's tortoise,3.53,52,FD,RBC,PS,368
Reptilia,Testudines,Trionychidae,Amyda cartilaginea,Asian softshell turtle,4.57,66,FD,RBC,PS,368
Reptilia,Testudines,Trionychidae,Apalone ferox,Florida softshell turtle,2.7,66,FD,RBC,HS,14
Reptilia,Testudines,Trionychidae,Apalone spinifera,Spiny softshell turtle,2.7,,FCM,RBC,"GD,ÊHS,ÊV",504
